p1,first_menu_number,first_name,last_menu_number,last_name,row_count,pdf_page,visual_anchor
01,0101,AGC FAST DELAY,0103,AGC SLOW DELAY,3,8,"first ruled row under the repeated header rule; prefix changes 01 to 02 at an ordinary single-weight row rule between 0103 and 0201, no thicker rule, no shading, no gap"
02,0201,LCD CONTRAST,0207,POP-UP MENU,7,8,"opens at the ordinary rule below 0103; prefix changes 02 to 03 at an ordinary single-weight row rule between 0207 and 0301"
03,0301,DVS RX OUT LVL,0302,DVS TX OUT LVL,2,8,"two ruled rows only; prefix changes 03 to 04 at an ordinary single-weight row rule between 0302 and 0401"
04,0401,KEYER TYPE,0411,CW MEMORY 5,11,8,"eleven ruled rows of equal height; prefix changes 04 to 05 at an ordinary single-weight row rule between 0411 and 0501"
05,0501,NB WIDTH,0520,FAN CONTROL,20,8-9,"runs across the page seam: 0501-0508 close page 8 (folio 7) at the chart's bottom rule, 0509-0520 resume under the repeated P1/Function/P2/Digits header on page 9 (folio 8); the repeated header is not counted as a row; prefix changes 05 to 06 at an ordinary rule between 0520 and 0601"
06,0601,AM LCUT FREQ,0607,AM PTT SELECT,7,9,"seven ruled rows; prefix changes 06 to 07 at an ordinary single-weight row rule between 0607 and 0701"
07,0701,CW LCUT FREQ,0713,QSK DELAY TIME,13,9,"thirteen ruled rows; prefix changes 07 to 08 at an ordinary single-weight row rule between 0713 and 0801"
08,0801,DATA MODE,0812,DATA BFO,12,9,"twelve ruled rows; prefix changes 08 to 09 at an ordinary single-weight row rule between 0812 and 0901"
09,0901,FM MIC SELECT,0906,DCS POLARITY,6,9,"six ruled rows; prefix changes 09 to 10 at an ordinary single-weight row rule between 0906 and 1001"
10,1001,RTTY LCUT FREQ,1011,RTTY BFO,11,9,"eleven ruled rows; prefix changes 10 to 11 at an ordinary single-weight row rule between 1011 and 1101"
11,1101,SSB LCUT FREQ,1109,SSB TX BPF,9,9,"nine ruled rows; prefix changes 11 to 12 at an ordinary single-weight row rule between 1109 and 1201"
12,1201,APF WIDTH,1204,IF NOTCH WIDTH,4,9,"four ruled rows; prefix changes 12 to 13 at an ordinary single-weight row rule between 1204 and 1301"
13,1301,SCP START CYCLE,1302,SCP SPAN FREQ,2,9,"two ruled rows only; prefix changes 13 to 14 at an ordinary single-weight row rule between 1302 and 1401"
14,1401,QUICK DIAL,1407,FM CH STEP,7,9-10,"runs across the page seam: 1401-1406 close page 9 (folio 8) at the chart's bottom rule, 1407 is the single row under the repeated header on page 10 (folio 9); repeated header not counted; prefix changes 14 to 15 at an ordinary rule between 1407 and 1501"
15,1501,EQ1 FREQ,1518,P-EQ3 BWTH,18,10,"eighteen ruled rows counted by menu number; 1504 and 1513 are double-height cells whose P2 legend wraps to a second line but each is one ruled row; prefix changes 15 to 16 at an ordinary rule between 1518 and 1601"
16,1601,HF SSB PWR,1623,EMERGENCY FREQ,23,10,"twenty-three ruled rows of equal height; prefix changes 16 to 17 at an ordinary single-weight row rule between 1623 and 1701"
17,1701,RESET,1701,RESET,1,10,"a single ruled row bounded above and below by ordinary single-weight rules; prefix changes 17 to 18 at the rule between 1701 and 1801"
18,1801,MAIN VERSION,1803,LCD VERSION,3,10,"three ruled rows; the last, 1803, sits on the chart's closing bottom rule, below which the page returns to the FA FREQUENCY VFO-A command block"
