p1,p2,p1_label,p2_label,first_p3,first_name,last_p3,last_name,row_count,pdf_page,visual_anchor
01,01,01 (RADIO SETTING),01 (MODE SSB),01,AF TREBLE GAIN,16,RPTT SELECT,16,11,P2 label centred in a ruled cell spanning P3 rows 01-16 (sits level with rows 08-09); the P1 cell runs unbroken down the whole page (72 rows) with its label level with MODE FM rows 02-03
01,02,01 (RADIO SETTING),02 (MODE AM),01,AF TREBLE GAIN,17,RPTT SELECT,17,11,P2 label centred in a ruled cell spanning P3 rows 01-17 (level with rows 08-09); shares the same unbroken 72-row P1 cell
01,03,01 (RADIO SETTING),03 (MODE FM),01,AF TREBLE GAIN,21,ENC/DEC,21,11,P2 label centred in a ruled cell spanning P3 rows 01-21 (level with rows 11-12); the P1 label sits alongside rows 02-03 of this group in the 72-row P1 cell
01,04,01 (RADIO SETTING),04 (MODE PSK/DATA),01,AF TREBLE GAIN,18,RPTT SELECT,18,11,P2 label centred in a ruled cell spanning P3 rows 01-18 (level with rows 08-09); last group in the 72-row P1 cell which is closed by the page bottom rule
01,05,01 (RADIO SETTING),05 (MODE RTTY),01,AF TREBLE GAIN,16,SHIFT FREQUENCY,16,12,P2 label centred in a ruled cell spanning P3 rows 01-16 (level with rows 08-09); the P1 label is re-printed in a fresh 27-row P1 cell level with rows 13-14 of this group
01,06,01 (RADIO SETTING),06 (ENC/DEC PSK),01,PSK MODE,05,PSK TX LEVEL,5,12,P2 label centred in a ruled cell spanning P3 rows 01-05 (level with row 03); inside the same 27-row P1 cell
01,07,01 (RADIO SETTING),07 (ENC/DEC RTTY),01,RX USOS,06,BAUDOT CODE,6,12,P2 label centred in a ruled cell spanning P3 rows 01-06 (level with rows 03-04); last group in the 27-row P1 cell which a full-width rule then closes
02,01,02 (CW SETTING),01 (MODE CW),01,AF TREBLE GAIN,18,CW INDICATOR,18,12,P2 label centred in a ruled cell spanning P3 rows 01-18 (level with rows 09-10); a new 30-row P1 cell opens here with its label level with rows 16-17 of this group
02,02,02 (CW SETTING),02 (KEYER),01,KEYER TYPE,11,REPEAT INTERVAL,11,12,P2 label centred in a ruled cell spanning P3 rows 01-11 (level with rows 05-06); inside the same 30-row P1 cell
02,03,02 (CW SETTING),03 (DECODE CW),01,CW DECODE BW,01,CW DECODE BW,1,12,single-row P2 cell - the two-line label is deeper than its one P3 row so that row is set taller; this cell closes the 30-row P1 cell
03,01,03 (OPERATION SETTING),01 (GENERAL),01,NB WIDTH,20,KEYBOARD LANGUAGE,20,12,P2 label centred in a ruled cell spanning P3 rows 01-20 and sitting level with rows 17-18 because row 20 is four lines deep; the P1 label sits level with it in a 20-row P1 cell closed by the page bottom rule
03,02,03 (OPERATION SETTING),02 (RX-DSP),01,APF WIDTH,04,IF NOTCH WIDTH,4,13,P2 label centred in a ruled cell spanning P3 rows 01-04 (level with rows 02-03); the P1 label is re-printed in a fresh 37-row P1 cell
03,03,03 (OPERATION SETTING),03 (TX AUDIO),01,AMC RELEASE TIME,19,P PRMTRC EQ3 BWTH,19,13,P2 label centred in a ruled cell spanning P3 rows 01-19 (level with rows 09-10); the P1 label sits alongside rows 13-14 of this group in the 37-row P1 cell
03,04,03 (OPERATION SETTING),04 (TX GENERAL),01,HF MAX POWER,07,EMERGENCY FREQ TX,7,13,P2 label centred in a ruled cell spanning P3 rows 01-07 (level with rows 04-05); inside the same 37-row P1 cell
03,05,03 (OPERATION SETTING),05 (TUNING),01,SSB/CW DIAL STEP,07,MPVD STEPS PER REV.,7,13,P2 label centred in a ruled cell spanning P3 rows 01-07 (level with rows 03-04); last group in the 37-row P1 cell which a full-width rule then closes
04,01,04 (DISPLAY SETTING),01 (DISPLAY),01,MY CALL.,05,MOUSE POINTER SPEED,5,13,P2 label centred in a ruled cell spanning P3 rows 01-05 (level with rows 03-04); a new 11-row P1 cell opens here with its label level with SCOPE rows 01-02
04,02,04 (DISPLAY SETTING),02 (SCOPE),01,RBW,04,3DSS DISP SENSITIVITY,4,13,P2 label centred in a ruled cell spanning P3 rows 01-04 (level with rows 02-03); inside the same 11-row P1 cell
04,03,04 (DISPLAY SETTING),03 (EXT-MONITOR),01,EXT DISPLAY,02,PIXEL,2,13,P2 label centred in a ruled cell spanning P3 rows 01-02 (level with both rows); this cell closes the 11-row P1 cell and the table
