command,direction,token,first_pos,last_pos
MR,read,MR,1,2
MR,read,P0,3,5
MR,read,;,6,6
MR,answer,MR,1,2
MR,answer,P1,3,5
MR,answer,P2,6,14
MR,answer,P3,15,19
MR,answer,P4,20,20
MR,answer,P5,21,21
MR,answer,P6,22,22
MR,answer,P7,23,23
MR,answer,P8,24,24
MR,answer,P9,25,26
MR,answer,P10,27,27
MR,answer,;,28,28
MT,set,MT,1,2
MT,set,P1,3,5
MT,set,P2,6,14
MT,set,P3,15,19
MT,set,P4,20,20
MT,set,P5,21,21
MT,set,P6,22,22
MT,set,P7,23,23
MT,set,P8,24,24
MT,set,P9,25,26
MT,set,P10,27,27
MT,set,P11,28,28
MT,set,P12,29,40
MT,set,;,41,41
MT,read,MT,1,2
MT,read,P0,3,5
MT,read,;,6,6
MT,answer,MT,1,2
MT,answer,P1,3,5
MT,answer,P2,6,14
MT,answer,P3,15,19
MT,answer,P4,20,20
MT,answer,P5,21,21
MT,answer,P6,22,22
MT,answer,P7,23,23
MT,answer,P8,24,24
MT,answer,P9,25,26
MT,answer,P10,27,27
MT,answer,P11,28,28
MT,answer,P12,29,40
MT,answer,;,41,41
MW,set,MW,1,2
MW,set,P1,3,5
MW,set,P2,6,14
MW,set,P3,15,19
MW,set,P4,20,20
MW,set,P5,21,21
MW,set,P6,22,22
MW,set,P7,23,23
MW,set,P8,24,24
MW,set,P9,25,26
MW,set,P10,27,27
MW,set,;,28,28
