# FT-710 EX read-characterisation observations (M8c, 24/07/2026).
#
# HARDWARE EVIDENCE — NOT a manual transcription, and READ DIRECTION ONLY.
# The manual's own Table 2 transcription lives in table2.csv and is never
# edited from hardware. This file records what one radio ANSWERED to EX
# READ requests; it says nothing about EX Set behaviour, which was not
# probed and is M8e/M8f's question.
#
# Source: two successive full passive EX sweeps ("rigprog read --settings")
#   of one UK FT-710, CAT ID 0800, firmware V01-12, in one configuration,
#   24 July 2026, controller-driven, read-only. Both sweeps returned all
#   296 addresses "known" and were byte-identical to each other. Session
#   record: docs/hardware-notes.md.
#
# PRIVACY: this file carries NO setting values — only each address's
#   observed P4 wire width and shape class. Raw captures stay in
#   docs/fixtures-private/ (never committed).
#
# Regenerate with:
#   go run ./internal/extable/observe -capture <private capture.json> \
#     -csv core/cat/table2.csv -out core/cat/table2-observed.csv
#
# Columns: p1,p2,p3,observed_read_width,observed_read_shape
#   observed_read_width  bytes of raw P4 answered to a READ (a sign counts)
#   observed_read_shape  numeric | signed (leading '+'/'-') | text (12-byte free text)
01,01,01,3,signed
01,01,02,3,signed
01,01,03,3,signed
01,01,04,4,numeric
01,01,05,4,numeric
01,01,06,4,numeric
01,01,07,2,numeric
01,01,08,1,numeric
01,01,09,2,numeric
01,01,10,1,numeric
01,01,11,3,numeric
01,01,12,3,numeric
01,01,13,1,numeric
01,01,14,1,numeric
01,01,15,3,numeric
01,01,16,3,numeric
01,01,17,1,numeric
01,01,18,2,numeric
01,01,19,1,numeric
01,02,01,3,signed
01,02,02,3,signed
01,02,03,3,signed
01,02,04,4,numeric
01,02,05,4,numeric
01,02,06,4,numeric
01,02,07,2,numeric
01,02,08,1,numeric
01,02,09,2,numeric
01,02,10,1,numeric
01,02,11,3,numeric
01,02,12,3,numeric
01,02,13,1,numeric
01,02,14,1,numeric
01,02,15,3,numeric
01,02,16,3,numeric
01,02,17,1,numeric
01,03,01,3,signed
01,03,02,3,signed
01,03,03,3,signed
01,03,04,4,numeric
01,03,05,4,numeric
01,03,06,4,numeric
01,03,07,2,numeric
01,03,08,1,numeric
01,03,09,2,numeric
01,03,10,1,numeric
01,03,11,3,numeric
01,03,12,3,numeric
01,03,13,1,numeric
01,03,14,3,numeric
01,03,15,3,numeric
01,03,16,1,numeric
01,03,17,1,numeric
01,03,18,4,numeric
01,03,19,4,numeric
01,03,20,1,numeric
01,03,21,3,numeric
01,04,01,3,signed
01,04,02,3,signed
01,04,03,3,signed
01,04,04,4,numeric
01,04,05,4,numeric
01,04,06,4,numeric
01,04,07,2,numeric
01,04,08,1,numeric
01,04,09,2,numeric
01,04,10,1,numeric
01,04,11,3,numeric
01,04,12,3,numeric
01,04,13,1,numeric
01,04,14,1,numeric
01,04,15,3,numeric
01,04,16,3,numeric
01,04,17,1,numeric
01,04,18,2,numeric
01,04,19,1,numeric
01,04,20,4,numeric
01,05,01,3,signed
01,05,02,3,signed
01,05,03,3,signed
01,05,04,4,numeric
01,05,05,4,numeric
01,05,06,4,numeric
01,05,07,2,numeric
01,05,08,1,numeric
01,05,09,2,numeric
01,05,10,1,numeric
01,05,11,3,numeric
01,05,12,3,numeric
01,05,13,1,numeric
01,05,14,2,numeric
01,05,15,1,numeric
01,05,16,1,numeric
01,05,17,1,numeric
02,01,01,3,signed
02,01,02,3,signed
