diagram_id,field_index,index_style,label_verbatim,pdf_page,visual_anchor,notes
D1,"1, 2",circled,Memory group number,19,"Upper row of the two-row byte band under ""Command: 1A 00""; first bracket group at the far left of the band, immediately right of the band's left edge.","Band prints the two indices under one bracket spanning two byte cells, with a plain comma between the circled numerals. Label taken from the legend line ""①, ②: Memory group number"" in the left legend column."
D1,"3, 4",circled,Memory channel numbers,19,"Upper row of the byte band; second bracket group, immediately to the right of the ""①, ②"" group.","Bracket spans two shaded byte cells. Label taken from the legend line ""③, ④: Memory channel numbers""."
D1,5,circled,Split and Select memory setting,19,"Upper row of the byte band; single circled index over one unshaded byte cell, immediately right of the ""③, ④"" group.","No bracket drawn; the circled numeral sits directly over its cell. Label taken from the legend line ""⑤: Split and Select memory setting""."
D1,6~10,circled,Operating frequency setting,19,"Upper row of the byte band; bracket group immediately right of ⑤, spanning a byte cell, a dashed elision cell and a further byte cell.",Tilde between the two circled numerals. Label taken from the legend line in the left legend column.
D1,11,circled,Operating mode setting,19,"Upper row of the byte band; single circled index over the unshaded byte cell immediately right of the ⑥~⑩ bracket.","Band prints ⑪ alone over its own cell with no bracket; the legend groups it as ""⑪, ⑫"". Label taken from the legend line ""⑪, ⑫: Operating mode setting""."
D1,12,circled,Operating mode setting,19,Upper row of the byte band; single circled index over the shaded byte cell immediately right of ⑪.,"Band prints ⑫ alone over its own cell with no bracket; the legend groups it as ""⑪, ⑫"". Same legend line as the ⑪ row above."
D1,13,circled,Data mode setting,19,Upper row of the byte band; single circled index over the unshaded byte cell immediately right of ⑫.,"Label is the legend line ""⑬: Data mode setting"" only; the following lines ""1 byte data (XX)"", ""00: Data mode OFF"", ""01: Data mode ON"" are separate value lines, not part of the label."
D1,14,circled,Duplex and Tone settings,19,Upper row of the byte band; single circled index over the shaded byte cell immediately right of ⑬.,Label taken from the legend line at the foot of the left legend column.
D1,15,circled,Digital squelch setting,19,"Upper row of the byte band; single circled index over the unshaded cell printed ""X 0"" (the only cell in the band whose right nibble is a zero rather than an X).",Label taken from the legend line at the foot of the left legend column.
D1,16~18,circled,Repeater tone frequency setting,19,"Upper row of the byte band; bracket group spanning three shaded byte cells, immediately right of the ""X 0"" cell.","Label taken from the first line of the right legend column. Identical label text to the ⑲~㉑ row below; see Observed disagreements."
D1,19~21,circled,Repeater tone frequency setting,19,Upper row of the byte band; bracket group spanning three unshaded byte cells immediately right of the ⑯~⑱ group.,"Label taken from the second line of the right legend column. Identical label text to the ⑯~⑱ row above; see Observed disagreements."
D1,22~24,circled,DTCS code setting,19,"Upper row of the byte band; last bracket group of the upper row, spanning three shaded byte cells, ending at the wrap arrow that leads to the lower row.",Label taken from the right legend column.
D1,25,circled,DV Digital code squelch setting,19,"Lower row of the byte band; first index of the lower row, a single circled numeral over the unshaded byte cell immediately right of the wrap arrowhead.",Label taken from the right legend column.
D1,26~28,circled,Duplex offset frequency setting,19,Lower row of the byte band; bracket group spanning three shaded byte cells immediately right of the ㉕ cell.,Label taken from the right legend column.
D1,29~36,circled,"UR (Destination) call sign setting (8 characters, fixed)",19,Lower row of the byte band; bracket group immediately right of the ㉖~㉘ cells spanning an unshaded byte cell then a dashed elision cell then a further byte cell.,"Label set across two lines in the right legend column and joined here with one space; the following ""ⓘSee"" cross-reference line is not part of the label."
D1,37~44,circled,"R1 (Access repeater) call sign setting (8 characters, fixed)",19,Lower row of the byte band; bracket group immediately right of the ㉙~㊱ group.,Label set across two lines in the right legend column and joined here with one space.
D1,45~52,circled,"R2 (Gateway/Link repeater) call sign setting (8 characters, fixed)",19,Lower row of the byte band; bracket group immediately right of the ㊲~㊹ group and immediately left of the filled-index block.,Label set across two lines in the right legend column and joined here with one space.
D1,6~52,filled,,19,"Lower row of the byte band; bracket group between the ㊺~52 group and the 53~68 group, drawn as reversed white numerals in solid black discs above a single wide shaded dashed-outline elision cell.",STOP 1 | STOP 2. No legend line is printed against this index anywhere on the page; it is referred to only inside the grey NOTE box at the foot of the right column. Label cell left empty because nothing is printed as its label.
D1,53~68,circled,"Memory name setting (16 characters, fixed)",19,"Lower row of the byte band; final bracket group at the right-hand end of the lower row, spanning a byte cell, a dashed elision cell and a final byte cell.",Label taken from the right legend column.
D2,5,circled,Split and Select memory setting,19,"Left legend column, the two-nibble detail box printed under the heading ""⑤: Split and Select memory setting"" and above the line ""* Set 0 for Call channel.""; the circled ⑤ sits above the box's left-hand half.","Single-field detail inset with no caption of its own; label taken from the heading line that immediately precedes it. Index repeats D1 field ⑤. Leader lines from the value labels cross; see Hazards (c)."
D3,14,circled,Duplex and Tone settings,19,"Left legend column, the two-nibble detail box printed under the heading ""⑭: Duplex and Tone settings"" and above the heading ""⑮: Digital squelch setting""; the circled ⑭ sits above the box's left-hand half.",Single-field detail inset with no caption of its own; label taken from the heading line that immediately precedes it. Index repeats D1 field ⑭.
D4,15,circled,Digital squelch setting,19,"Left legend column, the bottom-most detail box on the page, printed ""X 0"" under the heading ""⑮: Digital squelch setting"" and above the line ""0=Digital squelch function OFF""; the circled ⑮ sits above the box's left-hand half.",Single-field detail inset with no caption of its own; label taken from the heading line that immediately precedes it. Index repeats D1 field ⑮.
