diagram_id,field_index,block_label_verbatim,first_byte,first_nibble,last_byte,last_nibble,pdf_page,visual_anchor,notes
D1,"①, ②",-,1,1,2,2,19,"D1 upper row, the two white X:X cells at the extreme left-hand end of the row, under the bracket labelled ""①, ②"".","Two outlined-circle numerals carried on one bracket spanning two drawn cells; 2 cells counted, one byte each."
D1,"③, ④",-,3,1,4,2,19,"D1 upper row, cells 3 and 4: the first two grey-filled X:X cells, immediately right of the two white cells at the row start, under the bracket labelled ""③, ④"".","Two outlined-circle numerals carried on one bracket spanning two drawn cells; 2 cells counted."
D1,⑤,-,5,1,5,2,19,"D1 upper row, cell 5: the white X:X cell immediately right of the two grey cells of ""③, ④"", with ⑤ printed directly above it and no bracket.","Outlined circle; one drawn cell counted, no bracket. Nibble legend for this byte is diagram D2."
D1,⑥~⑩,-,6,1,10,2,19,"D1 upper row, the run of three drawn cells (grey X:X, grey dash-outlined ellipsis cell, grey X:X) immediately right of cell 5, under the bracket labelled ⑥~⑩.","Both numerals outlined circles. The run is drawn as 3 cells - an X:X cell, a dash-outlined cell holding six dots, then an X:X cell - so the elided bytes are not drawn and the extent 6 to 10 is read from the bracket's own printed end numerals."
D1,⑪,-,11,1,11,2,19,"D1 upper row, the white X:X cell immediately right of the ⑥~⑩ run, with ⑪ printed directly above it.","Outlined circle; one drawn cell counted."
D1,⑫,-,12,1,12,2,19,"D1 upper row, the grey X:X cell immediately right of the cell marked ⑪.","Outlined circle; one drawn cell counted."
D1,⑬,-,13,1,13,2,19,"D1 upper row, the white X:X cell immediately right of the cell marked ⑫.","Outlined circle; one drawn cell counted."
D1,⑭,-,14,1,14,2,19,"D1 upper row, the grey X:X cell immediately right of the cell marked ⑬.","Outlined circle; one drawn cell counted. Nibble legend for this byte is diagram D3."
D1,⑮,-,15,1,15,2,19,"D1 upper row, the white cell printed X 0 rather than X X, immediately right of the cell marked ⑭.","Outlined circle; one drawn cell counted. The second nibble prints the numeral 0 in place of X; diagram D4 labels that nibble ""Fixed""."
D1,⑯~⑱,-,16,1,18,2,19,"D1 upper row, the three grey X:X cells immediately right of the X 0 cell, under the bracket labelled ⑯~⑱.","Outlined circles; 3 drawn cells counted, no ellipsis cell in the run."
D1,⑲~㉑,-,19,1,21,2,19,"D1 upper row, the three white X:X cells immediately right of the three grey cells of ⑯~⑱, under the bracket labelled ⑲~㉑.","Outlined circles; 3 drawn cells counted, no ellipsis cell in the run."
D1,㉒~㉔,-,22,1,24,2,19,"D1 upper row, the last three cells of the row (grey X:X), immediately left of the wrap arrow that carries the record down to the lower row, under the bracket labelled ㉒~㉔.","Outlined circles; 3 drawn cells counted. The upper row holds 22 drawn cells in all."
D1,㉕,-,25,1,25,2,19,"D1 lower row, the first cell of the row (white X:X), immediately right of the arrowhead where the wrap line re-enters, with ㉕ printed directly above it.","Outlined circle; one drawn cell counted. The lower row continues the same record."
D1,㉖~㉘,-,26,1,28,2,19,"D1 lower row, the three grey X:X cells immediately right of the cell marked ㉕, under the bracket labelled ㉖~㉘.","Outlined circles; 3 drawn cells counted, no ellipsis cell in the run."
D1,㉙〜㊱,-,29,1,36,2,19,"D1 lower row, the run of three drawn cells (white X:X, white dash-outlined ellipsis cell, white X:X) immediately right of the ㉖~㉘ group, under the bracket labelled ㉙〜㊱.","Outlined circles. Drawn as 3 cells with the middle one elided, so the extent 29 to 36 is read from the bracket's own printed end numerals. The separator glyph here is a visibly longer, lower wave than the tilde used in every other range label on this diagram."
D1,㊲~㊹,-,37,1,44,2,19,"D1 lower row, the run of three drawn cells (grey X:X, grey dash-outlined ellipsis cell, grey X:X) immediately right of the ㉙〜㊱ group, under the bracket labelled ㊲~㊹.","Outlined circles. Drawn as 3 cells with the middle one elided; extent read from the bracket's own printed end numerals."
D1,㊺~52,-,45,1,52,2,19,"D1 lower row, the run of three drawn cells (white X:X, white dash-outlined ellipsis cell, white X:X) immediately right of the ㊲~㊹ group, under the bracket labelled ㊺~52.","Both numerals are outlined circles; the second is an outlined circle containing 52, written here as bare 52 because Unicode has no circled 52. Drawn as 3 cells with the middle one elided."
