diagram_id,field_index,label_verbatim,width_bytes,encoding,values_verbatim,pdf_page,visual_anchor,notes
"D1","1","Bank number","1","enum_byte","01: A | 02: B | 03: C | 04: D | 05: E","375","Upper band of the memory-record data block under “Command: 1A 00” (page 375, below the heading “• Memory content setting”); the leftmost cell, with the index (1) printed above it and nothing to its left; semantics in the left text column, first entry, headed “(1) Bank number”.","Printed index style: outline circled numeral(s), joined by no separator (single index). Measured byte position on the render: 1. encoding=enum_byte because the page prints an explicit, finite code-to-meaning list for this one byte. In the body-text entry the word “Bank” carries a yellow highlight annotation (an annotation layer, not printed ink)."
"D1","2、3","Memory channel number","2","bcd_packed","0001–0099: Memory channel 1 to 99 | 0100: Programmed scan edge 1A | 0101: Programmed scan edge 1b | 0102: Programmed scan edge 2A | 0103: Programmed scan edge 2b | 0104: Programmed scan edge 3A | 0105: Programmed scan edge 3b | 0106: Call channel 144-C1 | 0107: Call channel 144-C2 | 0108: Call channel 430-C1 | 0109: Call channel 430-C2","375","Upper band of the memory-record data block under “Command: 1A 00” (page 375, below the heading “• Memory content setting”); the two shaded cells immediately right of the (1) cell, spanned by one bracket labelled (2)、(3); semantics in the left text column, second entry, headed “(2), (3) Memory channel number”.","STOP 1. Printed index style: outline circled numeral(s); the band joins the pair with an ideographic comma “、”, the body text with a comma and space “, ”. Measured byte positions on the render: 2–3. encoding=bcd_packed because the page prints four decimal digits across the two bytes and maps 0001–0099 directly onto “Memory channel 1 to 99”; codes 0100–0109 are additionally enumerated. The “About clearing operation:” block lower on the same page prints “(2), (3): Memory channel 0 to 99”."
"D1","4","Split and Select memory settings","1","enum_nibble","0: Split OFF, 1: Split ON | 0: Select memory OFF | 1: Select memory ON","375","Upper band of the memory-record data block under “Command: 1A 00” (page 375, below the heading “• Memory content setting”); the single white cell immediately right of the (2)、(3) pair; semantics in the left text column under “(4) Split and Select memory settings”, whose legend box “X : X” has two leaders.","Printed index style: outline circled numeral(s). Measured byte position on the render: 4. encoding=enum_nibble because the legend box splits the byte with a dashed rule and gives each half-byte its own enumerated code list. Leader order is reversed relative to position: the leader from the LEFT half-byte runs down and across to the LOWER label “0: Split OFF, 1: Split ON”, and the leader from the RIGHT half-byte to the UPPER labels “0: Select memory OFF” / “1: Select memory ON”. Also printed under the legend: “When the program channel is selected, both settings should be “0.”” and “When the Call channel is selected, the Select memory setting should be “0.””. The “About clearing operation:” block prints “(4) : FF”."
"D1","5~9","Operating frequency setting","5","bcd_packed","10 Hz digit: 0–9 | 1 Hz digit: 0–9 | 1 kHz digit: 0–9 | 100 Hz digit: 0–9 | 100 kHz digit: 0–9 | 10 kHz digit: 0–9 | 10 MHz digit: 0–9 | 1 MHz digit: 0–9 | 1000 MHz digit: 0 (Fixed) | 100 MHz digit: 0–4","375; 370","Upper band of the memory-record data block under “Command: 1A 00” (page 375, below the heading “• Memory content setting”); the group bracketed (5)~(9), drawn as one shaded cell, one dashed shaded elision cell and one shaded cell, immediately right of the (4) cell. Label and cross-reference in the left text column: “(5)–(9) Operating frequency setting / See ‘• Operating frequency.’ (p. 20-11)”. The half-byte labels are on PDF page 370 (folio 20-11), left column, under “• Operating frequency”, “Command: 00, 03, 05, 1C 03”, read left to right beneath the five-byte box.","Printed index style: outline circled numeral(s); joined by a wave dash “~” in the band and by an en dash “–” in the body text. Measured byte positions on the render: 5–9 (three drawn cells, the middle a dashed elision cell standing for the omitted bytes; this is the diagram’s elision convention, used identically for every long group). encoding=bcd_packed because the referenced diagram labels every half-byte as a decimal digit position of the frequency. The referenced diagram’s own indices are (1)–(5), one per byte, and its fifth cell prints “0 : X”."
"D1","10、11","Operating mode setting","2","enum_byte","00: LSB | 05: FM | 01: FIL1 | 01: USB | 06: WFM | 02: FIL2 | 02: AM | 07: CW-R | 03: FIL3 | 03: CW | 08: RTTY-R | — | 04: RTTY | 17: DV | —","375; 370","Upper band of the memory-record data block under “Command: 1A 00” (page 375, below the heading “• Memory content setting”); the two white cells bracketed (10)、(11), immediately right of the (5)~(9) group. Label and cross-reference in the left text column: “(10), (11) Operating mode setting / See ‘• Operating mode.’ (p. 20-11)”. The code table is on PDF page 370 (folio 20-11), left column, under “• Operating mode”, “Command: 01, 04, 06”.","Printed index style: outline circled numeral(s); ideographic comma in the band, comma and space in the body text. Measured byte positions on the render: 10–11. encoding=enum_byte because the referenced table gives each of the two bytes its own explicit code-to-meaning list. values_verbatim transcribes the referenced table row by row as printed, left to right: column 1 and column 2 are the two halves of the header cell “(1) Operating mode” and column 3 is “(2) Filter setting”; the last two Filter setting cells print an em dash. Also printed beside that table: “Filter setting ((2)) can be skipped with command 01 and 06. In that case, “FIL1” is automatically selected with command 01, and the default filter setting of the operating mode is automatically selected with command 06.” and “When the WFM mode is selected with command 06, “FIL1” is automatically selected with command 01.”"
"D1","12","Data mode setting","1","enum_byte","00: Data mode OFF | 01: Data mode ON","375","Upper band of the memory-record data block under “Command: 1A 00” (page 375, below the heading “• Memory content setting”); the single shaded cell immediately right of the (10)、(11) pair; semantics in the left text column under “(12) Data mode setting”.","Printed index style: outline circled numeral(s). Measured byte position on the render: 12. encoding=enum_byte because the page prints an explicit two-entry code list for the byte. The page additionally prints the width statement “1 byte data (XX)” immediately under the label."
"D1","13","Duplex and Tone settings","1","enum_nibble","0: OFF, 1: Tone | 2: TSQL, 3: DTCS | 0: Duplex OFF | 1: Duplex–, 2: Duplex+","375","Upper band of the memory-record data block under “Command: 1A 00” (page 375, below the heading “• Memory content setting”); the single white cell immediately right of the (12) cell; semantics at the foot of the left text column under “(13) Duplex and Tone settings”, whose legend box “X : X” has two leaders.","Printed index style: outline circled numeral(s). Measured byte position on the render: 13. encoding=enum_nibble because the legend box splits the byte with a dashed rule and gives each half-byte its own enumerated code list. Leader order is reversed relative to position: the LEFT half-byte’s leader runs down and across to the LOWER labels “0: Duplex OFF” / “1: Duplex–, 2: Duplex+”, and the RIGHT half-byte’s leader to the UPPER labels “0: OFF, 1: Tone” / “2: TSQL, 3: DTCS”."
"D1","14","Digital squelch setting","1","enum_nibble","0: Digital squelch function OFF | 1: Digital call sign squelch function ON (DSQL) | 2: Digital code squelch function ON (CSQL)","375","Upper band of the memory-record data block under “Command: 1A 00” (page 375, below the heading “• Memory content setting”); the single shaded cell immediately right of the (13) cell — the only cell in the whole band that prints “X : 0” rather than “X : X”; semantics at the head of the right text column under “(14) Digital squelch setting”, whose legend box prints “X : 0” with one leader.","Printed index style: outline circled numeral(s). Measured byte position on the render: 14. encoding=enum_nibble because the single leader points at the LEFT half-byte only and the RIGHT half-byte is printed as a literal 0 in both the band cell and the legend box; the page states nothing further about the right half-byte. The low-nibble glyph was measured at 600 dpi: in the band cell the oval is 44 px wide against a 50 px X, and in the legend box 36 px against 46 px — both narrower than the adjacent X, i.e. the digit zero, not a capital O."
"D1","15~17","Repeater tone frequency setting","3","bcd_packed","0 (fixed) | 0 (fixed) | 100 Hz digit | 10 Hz digit | 1 Hz digit | 0.1 Hz digit","375; 373","Upper band of the memory-record data block under “Command: 1A 00” (page 375, below the heading “• Memory content setting”); the three white cells bracketed (15)~(17), immediately right of the (14) cell. Label and cross-reference in the right text column: “(15)–(17) Repeater tone frequency setting … See ‘• Repeater tone/tone squelch frequency setting.’ (p. 20-14)”. The half-byte labels are on PDF page 373 (folio 20-14), left column, under “• Repeater tone/tone squelch frequency setting”, “Command: 1B 00, 1B 01”.","Printed index style: outline circled numeral(s); wave dash in the band, en dash in the body text. Measured byte positions on the render: 15–17. encoding=bcd_packed because the referenced diagram labels each half-byte as a decimal digit position of the tone frequency. The referenced diagram’s first byte is indexed “(1)*” and footnoted “*Not necessary when setting a frequency.”; its first two half-bytes print a literal 0. The same referenced diagram serves both this field and (18)~(20)."
"D1","18~20","Tone squelch frequency setting","3","bcd_packed","0 (fixed) | 0 (fixed) | 100 Hz digit | 10 Hz digit | 1 Hz digit | 0.1 Hz digit","375; 373","Upper band of the memory-record data block under “Command: 1A 00” (page 375, below the heading “• Memory content setting”); the three shaded cells bracketed (18)~(20), immediately right of the (15)~(17) group. Label and cross-reference in the right text column: “(18)–(20) Tone squelch frequency setting … See ‘• Repeater tone/tone squelch frequency setting.’ (p. 20-14)”, on PDF page 373 (folio 20-14), left column.","Printed index style: outline circled numeral(s); wave dash in the band, en dash in the body text. Measured byte positions on the render: 18–20. encoding=bcd_packed because the referenced diagram labels each half-byte as a decimal digit position of the tone frequency. Transcribed independently from (15)~(17): the page prints one shared referenced diagram for both fields, so the two value sets read identically; nothing distinguishing the two is printed against them."
