diagram_id,field_index,block_label_verbatim,first_byte,first_nibble,last_byte,last_nibble,pdf_page,visual_anchor,notes
D1,"①, ②",-,1,1,2,2,169,"D1 byte strip under ""Command : 1A 00"": the first two drawn cells at the strip's left-hand end, both grey-filled and printed ""X X"" with a dotted rule between the two X's; the bracket printed ""①, ②"" has its left tick on the strip's left edge and its right tick on the rule between the second cell and the first white cell.","Byte positions counted from this diagram's own first cell; the diagram prints no byte-position numerals. Nibble 1 is the X left of the dotted rule, nibble 2 the X right of it."
D1,③,-,3,1,3,2,169,"D1 byte strip: the third drawn cell from the left and the first white (unshaded) cell, printed ""X X""; the circled numeral ③ is centred directly above it and it carries no bracket. The grey ①/② pair is immediately to its left.",Byte positions counted from this diagram's own first cell; the diagram prints no byte-position numerals.
D1,④–⑧,-,4,1,6,2,169,"D1 byte strip: the bracket printed ""④–⑧"" spans three drawn cells — a grey ""X X"" cell (4th from the left), then a grey cell with dashed top and bottom edges printed ""..."" with no dotted nibble rule (5th), then a grey ""X X"" cell (6th). Its left tick sits on the rule immediately right of the white ③ cell; its right tick is the V it shares with the ""⑨, ⑩"" bracket.",STOP 1 | STOP 2
D1,"⑨, ⑩",-,7,1,8,2,169,"D1 byte strip: the two white ""X X"" cells immediately right of the V that closes the ""④–⑧"" bracket, under the bracket printed ""⑨, ⑩""; the cell immediately to their right is grey and carries ⑪.",STOP 2
D1,⑪,-,9,1,9,2,169,"D1 byte strip: the single grey ""X X"" cell with the circled numeral ⑪ centred above it and no bracket, immediately right of the two white ⑨/⑩ cells and immediately left of the first of three white cells.",STOP 2
D1,⑫–⑭,-,10,1,12,2,169,"D1 byte strip: the run of three white ""X X"" cells under the bracket printed ""⑫–⑭"", beginning at the rule immediately right of the grey ⑪ cell and closing at the V it shares with the ""⑮–⑰"" bracket.",STOP 2
D1,⑮–⑰,-,13,1,15,2,169,"D1 byte strip: the run of three grey ""X X"" cells under the bracket printed ""⑮–⑰"", beginning at the V that closes ""⑫–⑭"" and closing at the V where the long dashed-edged region begins.",STOP 2
D1,❹–⓱,-,16,UNREADABLE,16,UNREADABLE,169,"D1 byte strip: the long undivided region with dashed top and bottom edges, white fill and a single horizontal dotted line inside, lying between the last grey ⑮–⑰ cell and the first grey ⑱–㉗ cell; the label above it is printed as two filled black discs bearing white numerals 4 and 17, joined by a short bar.",STOP 2 | STOP 3 | STOP 4 | STOP 5 | STOP 7
D1,⑱–㉗,-,17,1,19,2,169,"D1 byte strip: the last three drawn cells at the strip's right-hand end — a grey ""X X"" cell, then a grey cell with dashed top and bottom edges printed ""..."" with no dotted nibble rule, then a grey ""X X"" cell — under the bracket printed ""⑱–㉗"", whose right tick sits on the strip's right-hand edge.",STOP 2 | STOP 6
D2,③,-,1,1,1,2,169,"D2: the single outlined box beneath the heading ""③ Split and Select memory setting"" in the left-hand column of PDF page 169 (folio 19-11); the box is printed ""X X"" with a dotted rule at its mid-point and the circled numeral ③ centred above it. Two upward arrows leave the box's underside, one beneath each X.",Positions counted within this diagram from its own first (and only) cell; the diagram prints no byte-position numerals. The dotted rule at the mid-point is the only nibble division printed. See hazard (c) for the leader order.
D3,⑪,-,1,1,1,2,169,"D3: the single outlined box beneath the heading ""⑪ Data mode and tone type settings"" in the right-hand column of PDF page 169 (folio 19-11); the box is printed ""X X"" with a dotted rule at its mid-point and the circled numeral ⑪ centred above it. Two upward arrows leave the box's underside, one beneath each X.",Positions counted within this diagram from its own first (and only) cell; the diagram prints no byte-position numerals. See hazard (c) for the leader order.
