diagram_id,field_index,index_style,label_verbatim,pdf_page,visual_anchor,notes
D1,"1, 2",circled,Memory channel number,17,"D1 numbered band, leftmost group: circled 1 and circled 2 separated by a comma, under a square brace spanning the first two shaded XX cells at the left end of the byte row.","Brace spans two XX cells; label taken from the keyed heading ""①, ② Memory channel number"" in the left column below the diagram."
D1,3,circled,Split and Select memory setting,17,"D1 numbered band, second group: a lone circled 3 with no brace, sitting over the third (unshaded) XX cell, immediately right of the ""1, 2"" brace.","Only group in D1 drawn without a leader/brace; label taken from the keyed heading ""③ Split and Select memory setting"" in the left column."
D1,4~8,circled,Operating frequency setting,17,"D1 numbered band, third group: circled 4 tilde circled 8 over a long brace that starts at the shaded XX cell after the lone 3 and runs across the ellipsis cell to the next XX cell.","Printed as ""④ ~ ⑧"" with spaces either side of the tilde; label from the keyed heading ""④ ~ ⑧ Operating frequency setting"". Indices 4 and 8 also appear later in this same band in filled style — see STOP 1."
D1,"9, 10",circled,Operating mode setting,17,"D1 numbered band, fourth group: circled 9 and circled 10 separated by a comma, under a brace over the two unshaded XX cells that follow the ④ ~ ⑧ brace.","Label from the keyed heading ""⑨, ⑩ Operating mode setting"" in the left column."
D1,11,circled,Data mode and tone type settings,17,"D1 numbered band, fifth group: a lone circled 11 with no brace, over the shaded XX cell that follows the ⑨, ⑩ brace, about mid-way along the byte row.","Label from the keyed heading ""⑪ Data mode and tone type settings"" at the top of the right column; that heading prints ""settings"" plural."
D1,12~14,circled,Repeater tone frequency setting,17,"D1 numbered band, sixth group: circled 12 tilde circled 14 over a brace spanning the three unshaded XX cells to the right of the lone circled 11.","Printed as ""⑫ ~ ⑭""; label from the keyed heading ""⑫ ~ ⑭ Repeater tone frequency setting"" in the right column."
D1,15~17,circled,Tone squelch frequency setting,17,"D1 numbered band, seventh group: circled 15 tilde circled 17 over a brace spanning the three shaded XX cells that end the solid-outlined run, just before the dotted-outline stretch.","Printed as ""⑮ ~ ⑰""; label from the keyed heading ""⑮ ~ ⑰ Tone squelch frequency setting"". Indices 15-17 also appear inside the later filled range — see STOP 1."
D1,4~17,filled,,17,"D1 numbered band, eighth group: a black disc 4, a tilde, and a black disc 17 over a brace spanning the dotted-outlined stretch of the byte row (the run of heavy dots) that follows the ⑮ ~ ⑰ group.","STOP 1. Drawn as white numerals reversed out of solid black discs, unlike every other group on this band. No keyed heading is printed for this group anywhere on the page; it is referred to only inside the NOTE box at the foot of the right column (""The same data as ④ ~ ⑰ are stored in ❹ ~ ⓱.""), hence label_verbatim empty."
D1,18~33,circled,Memory name settings,17,"D1 numbered band, rightmost group: circled 18 tilde circled 33 over a brace spanning the final shaded XX cell, ellipsis cell and XX cell at the right-hand end of the byte row.","Printed as ""⑱ ~ ㉝""; label from the keyed heading ""⑱ ~ ㉝ Memory name settings"" in the right column."
D2,3,circled,,17,"D2 inset, left column: the lone circled 3 centred directly above the two-nibble X | X box, under the bold heading ""③ Split and Select memory setting"" and to the left of the SPLIT/SELECT table.","Nothing is printed against this circled 3 inside the inset, so label_verbatim is empty; the two nibbles below it are annotated by up-arrows reading SPLIT (left) and SELECT (right). Same index as D1 row 2, drawn in the same circled style."
D3,11,circled,,17,"D3 inset, right column: the lone circled 11 centred directly above the two-nibble X | X box, under the bold heading ""⑪ Data mode and tone type settings"" and to the left of the DATA/TONE table.","Nothing is printed against this circled 11 inside the inset, so label_verbatim is empty; the two nibbles below it are annotated by up-arrows reading DATA (left) and TONE (right). Same index as D1 row 5, drawn in the same circled style."
