vector_name,first_byte,first_nibble,last_byte,last_nibble,bytes_hex,field_index,status,pdf_page,visual_anchor,notes
read-record,1,-,2,-,"FE FE",-,structural,3,"Page-3 figure ""Controller (PC) to IC-7300MK2"": the two leftmost cells of the top frame, both printed FE, under index ① whose vertical leader reads ""Preamble code (Fixed)"".","Preamble, controller to transceiver."
read-record,3,-,3,-,B6,-,structural,3,"Page-3 figure ""Controller (PC) to IC-7300MK2"": third cell of the top frame, printed B6, under index ② whose leader reads ""Transceiver’s default address"".","Transceiver default address as printed; the document prints no other address for the transceiver itself."
read-record,4,-,4,-,E0,-,structural,3,"Page-3 figure ""Controller (PC) to IC-7300MK2"": fourth cell of the top frame, printed E0, under index ③ whose leader reads ""Controller’s (PC’s) default address"".","Controller default address as printed."
read-record,5,-,5,-,1A,-,manual_documented,6,"Page-6 Command table, right-hand half: the Cmd. cell printed ""1A*"" in the row immediately below the row whose Cmd. cell is ""19"".","Command number Cn. The asterisk on 1A* is explained on page 4: commands with an asterisk allow you to read or write setting values."
read-record,6,-,6,-,00,-,manual_documented,6,"Page-6 Command table, right-hand half: the Subcmd. cell printed ""00"" in the ""1A*"" row whose Data cell reads ""See p. 17."" and whose Description begins ""Sets or reads a specific Memory channel content.""","Subcommand number Sc, selecting Memory channel content."
read-record,7,-,8,-,"00 01",①|②,manual_derived,17,"Page-17 legend headed ""①, ② Memory channel number"", directly under the left end of the 1A 00 data-block diagram; first line, printed ""00 01 ~ 00 99: Memory channel 01 ~ 99"".","A read needs the channel number in the data area: the page-4 NOTE says that for some commands you must specify the channel number in the subcommand or data section to read the content. Channel 01 chosen; the page prints 00 01 as the low end of 00 01 ~ 00 99."
read-record,9,-,9,-,FD,-,structural,3,"Page-3 figure ""Controller (PC) to IC-7300MK2"": rightmost cell of the top frame, printed FD, under index ⑦ whose leader reads ""End of message code (Fixed)"".","End of message."
set-record-name-with-space,1,-,2,-,"FE FE",-,structural,3,"Page-3 figure ""Controller (PC) to IC-7300MK2"": the two leftmost cells of the top frame, both printed FE, under index ① whose vertical leader reads ""Preamble code (Fixed)"".","Preamble, controller to transceiver."
set-record-name-with-space,3,-,3,-,B6,-,structural,3,"Page-3 figure ""Controller (PC) to IC-7300MK2"": third cell of the top frame, printed B6, under index ② whose leader reads ""Transceiver’s default address"".","Transceiver default address."
set-record-name-with-space,4,-,4,-,E0,-,structural,3,"Page-3 figure ""Controller (PC) to IC-7300MK2"": fourth cell of the top frame, printed E0, under index ③ whose leader reads ""Controller’s (PC’s) default address"".","Controller default address."
set-record-name-with-space,5,-,5,-,1A,-,manual_documented,6,"Page-6 Command table, right-hand half: the Cmd. cell printed ""1A*"" in the row immediately below the row whose Cmd. cell is ""19"".","Command number Cn."
set-record-name-with-space,6,-,6,-,00,-,manual_documented,6,"Page-6 Command table, right-hand half: the Subcmd. cell printed ""00"" in the ""1A*"" row whose Data cell reads ""See p. 17."" and whose Description begins ""Sets or reads a specific Memory channel content.""","Subcommand number Sc."
set-record-name-with-space,7,-,8,-,"00 01",①|②,manual_derived,17,"Page-17 legend headed ""①, ② Memory channel number"", directly under the left end of the 1A 00 data-block diagram; first line, printed ""00 01 ~ 00 99: Memory channel 01 ~ 99"".","Channel 01 chosen from the printed mapping 00 01 ~ 00 99 = Memory channel 01 ~ 99; 00 01 is the printed low end."
set-record-name-with-space,9,1,9,1,00,③,manual_derived,17,"Page-17 legend headed ""③ Split and Select memory setting"": left half of the two-part box, the upward arrow labelled SPLIT, and the SPLIT column of the adjacent table whose first row reads ""0=OFF"".","Run carries only the nibble printed first (leftmost) of frame byte 9; bytes_hex gives the whole containing byte. SPLIT = 0 = OFF chosen from the printed SPLIT column."
set-record-name-with-space,9,2,9,2,00,③,manual_derived,17,"Page-17 legend headed ""③ Split and Select memory setting"": right half of the two-part box, the upward arrow labelled SELECT, and the SELECT column of the adjacent table whose first row reads ""0=OFF"".","Run carries only the nibble printed second (rightmost) of frame byte 9; bytes_hex gives the whole containing byte. SELECT = 0 = OFF chosen from the printed SELECT column. The note Set 00 for P1 and P2 does not bind here because the channel chosen is 00 01, not 01 00 or 01 01."
set-record-name-with-space,10,-,13,-,"00 00 10 14",④|⑤|⑥|⑦,manual_derived,16,"Page-16 section ""Operating frequency / Command: 00, 03, 05, 1C 03"": the five-cell box and its upward arrows, labelled left to right 10 Hz digit, 1 Hz digit, 1 kHz digit, 100 Hz digit, 100 kHz digit, 10 kHz digit, 10 MHz digit, 1 MHz digit; all 0~9 except 10 MHz digit 0~7.","14.100000 MHz chosen and packed into the printed digit order: 10 Hz 0 / 1 Hz 0; 1 kHz 0 / 100 Hz 0; 100 kHz 1 / 10 kHz 0; 10 MHz 1 / 1 MHz 4. The 10 MHz digit 1 is inside the printed 0~7 range."
set-record-name-with-space,14,-,14,-,00,⑧,manual_documented,16,"Page-16 section ""Operating frequency"": the fifth (rightmost) cell of the box, printed ""0"" and ""0"", whose two arrows read ""1 GHz digit: 0 (Fixed)"" and ""100 MHz digit: 0 (Fixed)"".","Both nibbles are printed as 0 (Fixed) and drawn as literal 0 and 0 in the box."
