diagram_id,field_index,index_style,label_verbatim,pdf_page,visual_anchor,notes
D1,"1, 2",circled,Memory group number,20,"D1 numbered band, leftmost entry, above a square leader bracket spanning the 1st and 2nd (shaded) cell-pairs of the data block, two lines below the heading Command: 1A 00.","Label read from the legend line 1, 2: Memory group number printed below the block at the head of the left column."
D1,3,circled,Select memory setting,20,"D1 numbered band, 2nd entry, printed alone with no bracket directly above the 3rd (unshaded) cell-pair, immediately right of the 1, 2 bracket.","STOP 1 | label read from the left-column legend line 3: Select memory setting; the same index 3 is also the index of D2 on this page."
D1,4 ~ 8,circled,Operating frequency setting,20,"D1 numbered band, 3rd entry, above a bracket spanning the 4th to 6th cell-pairs, the 5th of which is a dashed-outline cell holding an ellipsis.","STOP 3 | label read from the left-column legend line 4 ~ 8: Operating frequency setting; index 4 is printed alone, without a range, in the To clear the memory channel contents on 1A 00 list lower on the same page."
D1,"9, 10",circled,Operating mode setting,20,"D1 numbered band, 4th entry, above a bracket spanning the 7th and 8th (unshaded) cell-pairs, immediately right of the 4 ~ 8 bracket.","Label read from the left-column legend line 9, 10: Operating mode setting."
D1,11,circled,Data mode and tone type settings,20,"D1 numbered band, 5th entry, printed alone with no bracket directly above the 9th (shaded) cell-pair.","STOP 2 | label read from the right-column legend line 11: Data mode and tone type settings; the same index 11 is also the index of D3 on this page."
D1,12 ~ 14,circled,Repeater tone frequency setting,20,"D1 numbered band, 6th entry, above a bracket spanning the 10th to 12th (unshaded) cell-pairs.",Label read from the right-column legend line 12 ~ 14: Repeater tone frequency setting.
D1,15 ~ 17,circled,Tone squelch frequency setting,20,"D1 numbered band, 7th entry, above a bracket spanning the 13th to 15th (shaded) cell-pairs.",Label read from the right-column legend line 15 ~ 17: Tone squelch frequency setting.
D1,18 ~ 27,circled,Memory name settings,20,"D1 numbered band, rightmost entry, above a bracket spanning the 16th to 18th cell-pairs at the right end of the block, the 17th being a dashed-outline cell holding an ellipsis.",Label read from the right-column legend line 18 ~ 27: Memory name settings.
D2,3,circled,,20,"D2, the single circled index printed above the two-nibble box that follows the left-column heading 3: Select memory setting; the box holds 0 and X.","STOP 1 | label cell empty: nothing is printed against the index inside D2; the heading line above the box reads 3: Select memory setting."
D3,11,circled,,20,"D3, the single circled index printed above the two-nibble box that follows the right-column heading 11: Data mode and tone type settings; the box holds X and X.","STOP 2 | label cell empty: nothing is printed against the index inside D3; the heading line above the box reads 11: Data mode and tone type settings."
