diagram_id,field_index,index_style,label_verbatim,pdf_page,visual_anchor,notes
D1,1,circled,Frequency band setting,15,"D1 upper row, leftmost group: circled 1 stands alone over the first cell pair, immediately left of the braced group marked 2, 3.","Field list entry in the left column below the strip; enumerates 01: 144 MHz frequency band, 02: 430 MHz frequency band, 03: 1.2 GHz frequency band."
D1,"2, 3",circled,Memory channel number,15,"D1 upper row, second group: circled 2 and circled 3 separated by a comma and braced over the two shaded cell pairs following the first cell pair.","Comma pair as printed, with one space after the comma."
D1,4,circled,Select memory setting,15,"D1 upper row, third group: circled 4 over the unshaded cell pair printed 0 X, between the 2, 3 brace and the 5 ~ 9 brace.","Detail box in the left column below is captioned with a circled 3, not a circled 4; see STOP 1."
D1,5 ~ 9,circled,Operating frequency setting,15,"D1 upper row, fourth group: circled 5 and circled 9 braced over the run of cell pairs beginning after the 0 X pair and containing a dashed ellipsis cell.",Field list adds a cross-reference line: See “Operating frequency.” (p. 13)
D1,"10, 11",circled,Operating mode setting,15,"D1 upper row, fifth group: circled 10 and circled 11 separated by a comma and braced over the two cell pairs immediately right of the 5 ~ 9 brace.",Field list adds a cross-reference line: See “Operating mode.” (p. 13)
D1,12,circled,Data mode setting,15,"D1 upper row: circled 12 over the single shaded cell pair immediately right of the 10, 11 brace.","Field list enumerates 1 byte data (XX), 00: Data mode OFF, 01: Data mode ON."
D1,13,circled,Duplex and Tone settings,15,D1 upper row: circled 13 over the single unshaded cell pair between the 12 and 14 groups.,Detail box for this field is D3.
D1,14,circled,Digital squelch setting,15,D1 upper row: circled 14 over the single shaded cell pair printed X 0 immediately right of the 13 cell pair.,Detail box for this field is D4.
D1,15 ~ 17,circled,Repeater tone frequency setting,15,D1 upper row: circled 15 and circled 17 braced over the three unshaded cell pairs following the X 0 pair.,Field list adds a cross-reference line: See “Repeater tone/tone squelch frequency setting.” (p. 20)
D1,18 ~ 20,circled,Tone squelch frequency setting,15,D1 upper row: circled 18 and circled 20 braced over the three shaded cell pairs right of the 15 ~ 17 brace.,Shares the cross-reference line printed under the 15 ~ 17 entry.
D1,21 ~ 23,circled,DTCS code setting,15,D1 upper row: circled 21 and circled 23 braced over the three unshaded cell pairs right of the 18 ~ 20 brace.,Field list adds a cross-reference line: See “DTCS code and polarity setting.” (p. 20)
D1,24,circled,DV Digital code squelch setting,15,"D1 upper row, rightmost group: circled 24 over the final shaded cell pair, immediately left of the wrap arrow leading to the lower row.",Field list adds a cross-reference line: See “DV Digital code squelch setting.” (p. 20)
D1,25 ~ 27,circled,Duplex offset frequency setting,15,"D1 lower row, first group right of the wrap arrowhead: circled 25 and circled 27 braced over the first three unshaded cell pairs.",Field list adds a cross-reference line: See “Duplex Offset frequency setting.” (p. 13)
D1,28 ~ 35,circled,UR (Destination) call sign setting (8 characters; fixed),15,"D1 lower row, second group: circled 28 and circled 35 braced over the run beginning with the shaded pair after the 25 ~ 27 brace and containing a dashed ellipsis cell.",Label set across two printed lines and joined here with one space.
D1,36 ~ 43,circled,R1 (Access repeater) call sign setting (8 characters; fixed),15,"D1 lower row, third group: circled 36 and circled 43 braced over the run following the 28 ~ 35 brace.",Label set across two printed lines and joined here with one space.
D1,44 ~ 51,circled,R2 (Gateway/Link repeater) call sign setting (8 characters; fixed),15,"D1 lower row, fourth group: circled 44 and circled 51 braced over the run following the 36 ~ 43 brace.",Label set across two printed lines and joined here with one space; field list adds a cross-reference line: See “DV TX call signs setting.” (p. 20)
D1,5 ~ 51,filled,,15,"D1 lower row, fifth group: two solid black discs with reversed white numerals reading 5 and 51, printed with no brace above a long dotted run between the 44 ~ 51 brace and the 52 ~ 67 brace.",STOP 2 | No field list entry is printed against this index; the only prose naming it is the NOTE box lower right of the page.
D1,52 ~ 67,circled,Memory name setting (16 characters; fixed),15,"D1 lower row, last group: circled 52 and circled 67 braced over the final run of shaded cell pairs at the right-hand end of the strip.",Label set across two printed lines and joined here with one space; field list adds a cross-reference line: See “Codes for character entries.” (p. 15)
D2,3,circled,,15,"Two-nibble box printed 0 X in the left column under the heading 4 Select memory setting; the circled numeral sits centred above the box, over the dotted nibble divider.","STOP 1 | Nothing is printed against this numeral; the heading immediately above the box reads 4 Select memory setting with a circled 4, while the numeral above the box is a circled 3."
D3,13,circled,Duplex and Tone settings,15,Two-nibble box printed X X in the lower left column under the heading 13 Duplex and Tone settings; the circled numeral sits centred above the box.,Label taken from the heading printed immediately above the box; index agrees with that heading.
D4,14,circled,Digital squelch setting,15,Two-nibble box printed X 0 at the top of the right column under the heading 14 Digital squelch setting; the circled numeral sits centred above the box.,Label taken from the heading printed immediately above the box; index agrees with that heading.
D5,1,circled,Frequency band codes,16,"Band stacking register block, upper right of the page under Command: 1A 01; circled 1 above the left-hand cell pair of the four-cell block.",Label taken from the numbered entry printed below the NOTE box; that entry is set tight as 1Frequency band codes with no space after the circled numeral.
D5,2,circled,Register codes,16,"Band stacking register block, upper right of the page under Command: 1A 01; circled 2 above the right-hand cell pair of the four-cell block.",Label taken from the numbered entry printed below the frequency band code table; set tight as 2Register codes with no space after the circled numeral.
