diagram_id,field_index,index_style,label_verbatim,pdf_page,visual_anchor,notes
D1,"①, ②",circled,Memory group number,12,"Memory channel content figure (Command: 1A 00), numbered band above the three-row byte block at the top of the left column; row 1, first bracketed span, above the two leftmost byte cells",label read from the numbered item list printed below the block for this same index token
D1,"③, ④",circled,Memory channel numbers,12,"Memory channel content figure (Command: 1A 00), numbered band above the three-row byte block at the top of the left column; row 1, second bracketed span, immediately right of ①, ②",label read from the numbered item list printed below the block for this same index token
D1,⑤,circled,Skip/Select Memory scan setting,12,"Memory channel content figure (Command: 1A 00), numbered band above the three-row byte block at the top of the left column; row 1, unbracketed index above the fifth byte cell",label read from the numbered item list printed below the block for this same index token
D1,⑥ ~ ⑩,circled,Receiving frequency,12,"Memory channel content figure (Command: 1A 00), numbered band above the three-row byte block at the top of the left column; row 1, rightmost bracketed span, over the cells that end in the dotted ellipsis",label read from the numbered item list printed below the block for this same index token
D1,"⑪, ⑫",circled,Receiving mode,12,"Memory channel content figure (Command: 1A 00), numbered band above the three-row byte block at the top of the left column; row 2, first bracketed span, immediately right of the in-arrow",label read from the numbered item list printed below the block for this same index token
D1,⑬,circled,Duplex setting,12,"Memory channel content figure (Command: 1A 00), numbered band above the three-row byte block at the top of the left column; row 2, unbracketed index above the third byte cell",label read from the numbered item list printed below the block for this same index token
D1,⑭ ~ ⑰,circled,Offset frequency,12,"Memory channel content figure (Command: 1A 00), numbered band above the three-row byte block at the top of the left column; row 2, bracketed span over the cells around the dotted ellipsis",label read from the numbered item list printed below the block for this same index token
D1,"⑱, ⑲",circled,Tuning step (TS),12,"Memory channel content figure (Command: 1A 00), numbered band above the three-row byte block at the top of the left column; row 2, rightmost bracketed span, at the end of the row",label read from the numbered item list printed below the block for this same index token
D1,"⑳, ㉑",circled,Programmable tuning step,12,"Memory channel content figure (Command: 1A 00), numbered band above the three-row byte block at the top of the left column; row 3, first bracketed span, immediately right of the in-arrow",label read from the numbered item list printed below the block for this same index token
D1,㉒,circled,Attenuator setting,12,"Memory channel content figure (Command: 1A 00), numbered band above the three-row byte block at the top of the left column; row 3, unbracketed index, third index from the left",label read from the numbered item list printed below the block for this same index token
D1,㉓,circled,Preamplifier setting,12,"Memory channel content figure (Command: 1A 00), numbered band above the three-row byte block at the top of the left column; row 3, unbracketed index, fourth index from the left",label read from the numbered item list printed below the block for this same index token
D1,㉔,circled,Antenna setting,12,"Memory channel content figure (Command: 1A 00), numbered band above the three-row byte block at the top of the left column; row 3, unbracketed index, fifth index from the left",label read from the numbered item list printed below the block for this same index token
D1,㉕,circled,IP plus (IP+) function,12,"Memory channel content figure (Command: 1A 00), numbered band above the three-row byte block at the top of the left column; row 3, unbracketed index, sixth index from the left",label read from the numbered item list printed below the block for this same index token
D1,㉖ ~ ㊶,circled,Memory name (Up to 16 characters),12,"Memory channel content figure (Command: 1A 00), numbered band above the three-row byte block at the top of the left column; row 3, rightmost bracketed span, over the cells around the dotted ellipsis, ending at the out-arrow",label read from the numbered item list printed below the block for this same index token
D2,⑤,circled,Skip/Select Memory scan setting,12,"Detail box under the heading ""⑤ Skip/Select Memory scan setting"", left column, below the Memory group number / Memory channel numbers lists; index sits above the two-cell box",cell leaders L-R: 0=SKIP OFF / 1=SKIP / 2=PSKIP | 0 =OFF / 1 ~ 9=★1 ~ ★9
D3,⑬,circled,Duplex setting,12,"Detail box under the heading ""⑬ Duplex setting"", foot of the left column, below ""⑪, ⑫ Receiving mode""; index above the two-cell box",cell leaders L-R: 0 (Fixed) | 0=OFF / 1=DUP– / 2=DUP+
D4,⑱,circled,Tuning step (TS),12,"Detail box under the heading ""⑱, ⑲ Tuning step (TS)"", right column upper, below ""⑭ ~ ⑰ Offset frequency""; left index of two, over the first byte pair",cell leader: TS function / 00=OFF / 01=ON
D4,⑲,circled,Tuning step (TS),12,"Detail box under the heading ""⑱, ⑲ Tuning step (TS)"", right column upper; right index of two, over the second byte pair",cell leader: Tuning step setting / (Refer to command 10 (p. 3)) / *00=10 Hz (TS OFF) is invalid.
D5,⑳,circled,Programmable tuning step,12,"Detail box under the heading ""⑳, ㉑ Programmable tuning step"", right column; left index of two, over the first byte pair of the four-cell box",cell leaders L-R: 1 kHz digit: 0 ~ 9 | 100 Hz digit: 0 ~ 9; the four leader labels are printed in the reverse of the cell order they point at
D5,㉑,circled,Programmable tuning step,12,"Detail box under the heading ""⑳, ㉑ Programmable tuning step"", right column; right index of two, over the second byte pair",cell leaders L-R: 100 kHz digit: 0 ~ 9 | 10 kHz digit: 0 ~ 9; the four leader labels are printed in the reverse of the cell order they point at
D6,㉒,circled,Attenuator setting,12,"Detail box under the heading ""㉒ Attenuator setting"", right column, below the Programmable tuning step box; single index above the two-cell box",one leader from the cell divider: 00=OFF / 10=10dB / 20=20dB / 30=30dB
D7,㉓,circled,Preamplifier setting,12,"Detail box under the heading ""㉓ Preamplifier setting"", right column, below the Attenuator setting box",cell leaders L-R: 0 (Fixed) | 0=OFF / 1=ON
