vector_name,first_byte,first_nibble,last_byte,last_nibble,bytes_hex,field_index,status,pdf_page,visual_anchor,notes
read-record,1,-,2,-,FE FE,-,structural,3,"Page-2 frame diagram 'Controller to IC-R8600': cells 1 and 2 of the upper row, both printed 'FE', leader 'Preamble code (fixed)'.",
read-record,3,-,3,-,96,-,structural,3,"Page-2 frame diagram 'Controller to IC-R8600': cell 3 of the upper row printed '96', leader 'Receiver's default address'.",
read-record,4,-,4,-,E0,-,structural,3,"Page-2 frame diagram 'Controller to IC-R8600': cell 4 of the upper row printed 'E0', leader 'Controller's default address'.",
read-record,5,-,6,-,1A 00,-,manual_documented,12,Line 'Command: 1A 00' printed directly beneath the bullet heading 'Memory channel content' at the head of the left column.,
read-record,7,-,10,-,00 00 00 01,1 | 2 | 3 | 4,inherited_assumed,,,Group 0000 channel 0001. The guide never prints a read-request data area for 1A 00; see the assumption register.
read-record,11,-,11,-,FD,-,structural,3,"Page-2 frame diagram 'Controller to IC-R8600': cell 7 of the upper row printed 'FD', leader 'End of message code (fixed)'.",
read-transceiver-id,1,-,2,-,FE FE,-,structural,3,"Page-2 frame diagram 'Controller to IC-R8600': cells 1 and 2 of the upper row, both printed 'FE', leader 'Preamble code (fixed)'.",
read-transceiver-id,3,-,3,-,96,-,structural,3,"Page-2 frame diagram 'Controller to IC-R8600': cell 3 of the upper row printed '96', leader 'Receiver's default address'.",
read-transceiver-id,4,-,4,-,E0,-,structural,3,"Page-2 frame diagram 'Controller to IC-R8600': cell 4 of the upper row printed 'E0', leader 'Controller's default address'.",
read-transceiver-id,5,-,6,-,19 00,-,manual_documented,5,"Command table, left half: the row whose Cmd cell reads '19', Sub cmd cell reads '00' and Description reads 'Read the receiver ID'; the row directly above it is '18 / 01 / Turn ON the receiver'.",
read-transceiver-id,7,-,7,-,FD,-,structural,3,"Page-2 frame diagram 'Controller to IC-R8600': cell 7 of the upper row printed 'FD', leader 'End of message code (fixed)'.",
manual-example-1,1,-,5,-,FE FE FE FE FE,-,manual_documented,9,Right column 'Example: When using 4800 bps': the leading bold cell printed 'F E' with 'x5' printed beneath it.,The cell is printed once and annotated 'x5'; transcribed here as the five bytes that annotation calls for.
manual-example-1,6,-,7,-,FE FE,-,manual_documented,9,"Right column 'Example: When using 4800 bps': the cell headed 'Preamble', printed 'F E F E'.",
manual-example-1,8,-,8,-,96,-,manual_documented,9,"Right column 'Example: When using 4800 bps': the cell headed 'R8600's address', printed '9 6'.",
manual-example-1,9,-,9,-,E0,-,manual_documented,9,"Right column 'Example: When using 4800 bps': the cell headed 'Controller's address', printed 'E 0'.",
manual-example-1,10,-,10,-,18,-,manual_documented,9,"Right column 'Example: When using 4800 bps': the cell headed 'Command', printed '1 8'.",
manual-example-1,11,-,11,-,01,-,manual_documented,9,"Right column 'Example: When using 4800 bps': the cell headed 'Sub command', printed '0 1'.",
manual-example-1,12,-,12,-,FD,-,manual_documented,9,"Right column 'Example: When using 4800 bps': the cell headed 'Post amble', printed 'F D'.",
set-record-name-with-space-48,1,-,2,-,FE FE,-,structural,3,"Page-2 frame diagram 'Controller to IC-R8600': cells 1 and 2 of the upper row, both printed 'FE', leader 'Preamble code (fixed)'.",
set-record-name-with-space-48,3,-,3,-,96,-,structural,3,"Page-2 frame diagram 'Controller to IC-R8600': cell 3 of the upper row printed '96', leader 'Receiver's default address'.",
set-record-name-with-space-48,4,-,4,-,E0,-,structural,3,"Page-2 frame diagram 'Controller to IC-R8600': cell 4 of the upper row printed 'E0', leader 'Controller's default address'.",
set-record-name-with-space-48,5,-,6,-,1A 00,-,manual_documented,12,Line 'Command: 1A 00' printed directly beneath the bullet heading 'Memory channel content' at the head of the left column.,
set-record-name-with-space-48,7,-,8,-,00 00,1 | 2,manual_derived,12,"Left column list '(1), (2) Memory group number': the line '0000 ~ 0099: Normal memory channel group'.",Group 0000 chosen from the printed range 0000-0099.
set-record-name-with-space-48,9,-,10,-,00 01,3 | 4,manual_derived,12,"Left column list '(3), (4) Memory channel numbers': the line '0000 ~ 0099: Normal memory channel (00 ~ 99)'.",Channel 0001 chosen from the printed range 0000-0099.
set-record-name-with-space-48,11,-,11,-,00,5,manual_derived,12,"Left column diagram '(5) Skip/Select Memory scan setting': the single two-nibble box; left nibble leader '0=SKIP OFF', right nibble leader '0 =OFF'.",0=SKIP OFF and 0=OFF chosen from the two printed enumerations.
set-record-name-with-space-48,12,-,16,-,00 00 50 45 01,6 | 7 | 8 | 9 | 10,manual_derived,10,"Left column diagram under 'Receiving frequency / Command: 00, 03, 05': the five boxes with rotated leaders reading, left to right, '10Hz digit', '1Hz digit', '1kHz digit', '100Hz digit', '100kHz digit', '10kHz digit', '10MHz digit', '1MHz digit', '1GHz digit', '100MHz digit'.",145.500000 MHz written into the printed digit order.
set-record-name-with-space-48,17,-,17,-,02,11,manual_derived,10,Left column table under 'Receiving mode': the column headed '(1)Receiving mode'.,Mode code transcribed exactly as the table prints it.
set-record-name-with-space-48,18,-,18,-,01,12,manual_derived,10,"Left column table under 'Receiving mode': the column headed '(2)Filter setting', row '01:FIL1'.",01=FIL1 chosen from the printed enumeration 01:FIL1 / 02:FIL2 / 03:FIL3.
set-record-name-with-space-48,19,1,19,1,00,13,manual_documented,12,"Left column diagram '(13) Duplex setting': the left nibble of the single box, printed '0', leader '0 (Fixed)'.",
set-record-name-with-space-48,19,2,19,2,00,13,manual_derived,12,"Left column diagram '(13) Duplex setting': the right nibble of the single box, leader '0=OFF / 1=DUP- / 2=DUP+'.",0=OFF chosen from the printed enumeration.
set-record-name-with-space-48,20,1,20,1,00,14,manual_derived,10,"Right column diagram 'Offset frequency / Command: 0D': nibble 1 of box 1, rotated leader '1 kHz digit: 0 ~ 9'.",Zero offset chosen; digit within the printed range.
set-record-name-with-space-48,20,2,20,2,00,14,manual_documented,10,"Right column diagram 'Offset frequency / Command: 0D': nibble 2 of box 1, printed '0', rotated leader '100 Hz digit: 0 (Fixed)'.",
set-record-name-with-space-48,21,-,22,-,00 00,15 | 16,manual_derived,10,"Right column diagram 'Offset frequency / Command: 0D': boxes 2 and 3, rotated leaders '100 kHz digit', '10 kHz digit', '10 MHz digit', '1 MHz digit'.",Zero offset chosen; all four digits within their printed ranges.
set-record-name-with-space-48,23,1,23,1,00,17,manual_documented,10,"Right column diagram 'Offset frequency / Command: 0D': nibble 1 of box 4, printed '0', rotated leader '1 GHz digit: 0 (Fixed)'.",
set-record-name-with-space-48,23,2,23,2,00,17,manual_derived,10,"Right column diagram 'Offset frequency / Command: 0D': nibble 2 of box 4, rotated leader '100 MHz digit: 0 ~ 2'.",Zero offset chosen; digit within the printed range 0-2.
set-record-name-with-space-48,24,-,24,-,01,18,manual_derived,12,"Right column diagram '(18), (19) Tuning step (TS)': box 1, leader 'TS function 00=OFF 01=ON'.",01=ON chosen from the printed enumeration.
set-record-name-with-space-48,25,-,25,-,05,19,manual_derived,12,"Right column diagram '(18), (19) Tuning step (TS)': box 2, leader 'Tuning step setting (Refer to command 10 (p. 3))'.","05 taken from the command-10 sub-command list on PDF page 4, row '05 / Send/read the 5 kHz tuning step'."
set-record-name-with-space-48,26,-,27,-,90 00,20 | 21,manual_derived,12,"Right column diagram '(20), (21) Programmable tuning step': the four nibbles whose leaders run, left to right, '1 kHz digit', '100 Hz digit', '100 kHz digit', '10 kHz digit'.",9 kHz written into the drawn nibble order; every digit within its printed 0-9 range.
set-record-name-with-space-48,28,-,28,-,00,22,manual_derived,12,"Right column diagram '(22) Attenuator setting': the single box, leader '00=OFF / 10=10dB / 20=20dB / 30=30dB'.",00=OFF chosen from the printed enumeration.
set-record-name-with-space-48,29,1,29,1,01,23,manual_documented,12,"Right column diagram '(23) Preamplifier setting': the left nibble, printed '0', leader '0 (Fixed)'.",
set-record-name-with-space-48,29,2,29,2,01,23,manual_derived,12,"Right column diagram '(23) Preamplifier setting': the right nibble, leader '0=OFF / 1=ON'.",1=ON chosen from the printed enumeration.
set-record-name-with-space-48,30,1,30,1,00,24,manual_documented,12,"Right column diagram '(24) Antenna setting': the left nibble, printed '0', leader '0 (Fixed)'.",
set-record-name-with-space-48,30,2,30,2,00,24,manual_derived,12,"Right column diagram '(24) Antenna setting': the right nibble, leader '0=ANT1 / 1=ANT2 / 2=ANT3'.",0=ANT1 chosen from the printed enumeration.
set-record-name-with-space-48,31,1,31,1,00,25,manual_documented,12,"Right column diagram '(25) IP plus (IP+) function': the left nibble, printed '0', leader '0 (Fixed)'.",
set-record-name-with-space-48,31,2,31,2,00,25,manual_derived,12,"Right column diagram '(25) IP plus (IP+) function': the right nibble, leader '0=OFF / 1=ON'.",0=OFF chosen from the printed enumeration.
set-record-name-with-space-48,32,-,40,-,54 45 53 54 20 4E 41 4D 45,26 | 27 | 28 | 29 | 30 | 31 | 32 | 33 | 34,inherited_assumed,,,The nine characters T E S T space N A M E in 7-bit ASCII. No character-code table is printed anywhere in this guide.
set-record-name-with-space-48,41,-,47,-,20 20 20 20 20 20 20,35 | 36 | 37 | 38 | 39 | 40 | 41,inherited_assumed,,,Seven ASCII spaces padding the 16-byte name field. The guide prints no pad value for a name shorter than 16 characters.
set-record-name-with-space-48,48,-,48,-,FD,-,structural,3,"Page-2 frame diagram 'Controller to IC-R8600': cell 7 of the upper row printed 'FD', leader 'End of message code (fixed)'.",
set-record-name-with-space-50,1,-,2,-,FE FE,-,structural,3,"Page-2 frame diagram 'Controller to IC-R8600': cells 1 and 2 of the upper row, both printed 'FE', leader 'Preamble code (fixed)'.",
set-record-name-with-space-50,3,-,3,-,96,-,structural,3,"Page-2 frame diagram 'Controller to IC-R8600': cell 3 of the upper row printed '96', leader 'Receiver's default address'.",
set-record-name-with-space-50,4,-,4,-,E0,-,structural,3,"Page-2 frame diagram 'Controller to IC-R8600': cell 4 of the upper row printed 'E0', leader 'Controller's default address'.",
set-record-name-with-space-50,5,-,6,-,1A 00,-,manual_documented,12,Line 'Command: 1A 00' printed directly beneath the bullet heading 'Memory channel content' at the head of the left column.,
set-record-name-with-space-50,7,-,8,-,00 00,1 | 2,manual_derived,12,"Left column list '(1), (2) Memory group number': the line '0000 ~ 0099: Normal memory channel group'.",Group 0000 chosen from the printed range 0000-0099.
set-record-name-with-space-50,9,-,10,-,00 01,3 | 4,manual_derived,12,"Left column list '(3), (4) Memory channel numbers': the line '0000 ~ 0099: Normal memory channel (00 ~ 99)'.",Channel 0001 chosen from the printed range 0000-0099.
set-record-name-with-space-50,11,-,11,-,00,5,manual_derived,12,"Left column diagram '(5) Skip/Select Memory scan setting': the single two-nibble box; left nibble leader '0=SKIP OFF', right nibble leader '0 =OFF'.",0=SKIP OFF and 0=OFF chosen from the two printed enumerations.
set-record-name-with-space-50,12,-,16,-,00 00 50 45 01,6 | 7 | 8 | 9 | 10,manual_derived,10,"Left column diagram under 'Receiving frequency / Command: 00, 03, 05': the five boxes with rotated leaders reading, left to right, '10Hz digit', '1Hz digit', '1kHz digit', '100Hz digit', '100kHz digit', '10kHz digit', '10MHz digit', '1MHz digit', '1GHz digit', '100MHz digit'.",145.500000 MHz written into the printed digit order.
set-record-name-with-space-50,17,-,17,-,17,11,manual_derived,10,Left column table under 'Receiving mode': the column headed '(1)Receiving mode'.,Mode code transcribed exactly as the table prints it.
set-record-name-with-space-50,18,-,18,-,01,12,inherited_assumed,,,"Filter byte (12) is drawn as part of the record for every mode class, but the receiving-mode table prints a dash in the '(2)Filter setting' column for this mode, so no value is documented; 01 chosen."
set-record-name-with-space-50,19,1,19,1,00,13,manual_documented,12,"Left column diagram '(13) Duplex setting': the left nibble of the single box, printed '0', leader '0 (Fixed)'.",
set-record-name-with-space-50,19,2,19,2,00,13,manual_derived,12,"Left column diagram '(13) Duplex setting': the right nibble of the single box, leader '0=OFF / 1=DUP- / 2=DUP+'.",0=OFF chosen from the printed enumeration.
set-record-name-with-space-50,20,1,20,1,00,14,manual_derived,10,"Right column diagram 'Offset frequency / Command: 0D': nibble 1 of box 1, rotated leader '1 kHz digit: 0 ~ 9'.",Zero offset chosen; digit within the printed range.
set-record-name-with-space-50,20,2,20,2,00,14,manual_documented,10,"Right column diagram 'Offset frequency / Command: 0D': nibble 2 of box 1, printed '0', rotated leader '100 Hz digit: 0 (Fixed)'.",
set-record-name-with-space-50,21,-,22,-,00 00,15 | 16,manual_derived,10,"Right column diagram 'Offset frequency / Command: 0D': boxes 2 and 3, rotated leaders '100 kHz digit', '10 kHz digit', '10 MHz digit', '1 MHz digit'.",Zero offset chosen; all four digits within their printed ranges.
set-record-name-with-space-50,23,1,23,1,00,17,manual_documented,10,"Right column diagram 'Offset frequency / Command: 0D': nibble 1 of box 4, printed '0', rotated leader '1 GHz digit: 0 (Fixed)'.",
set-record-name-with-space-50,23,2,23,2,00,17,manual_derived,10,"Right column diagram 'Offset frequency / Command: 0D': nibble 2 of box 4, rotated leader '100 MHz digit: 0 ~ 2'.",Zero offset chosen; digit within the printed range 0-2.
set-record-name-with-space-50,24,-,24,-,01,18,manual_derived,12,"Right column diagram '(18), (19) Tuning step (TS)': box 1, leader 'TS function 00=OFF 01=ON'.",01=ON chosen from the printed enumeration.
set-record-name-with-space-50,25,-,25,-,05,19,manual_derived,12,"Right column diagram '(18), (19) Tuning step (TS)': box 2, leader 'Tuning step setting (Refer to command 10 (p. 3))'.","05 taken from the command-10 sub-command list on PDF page 4, row '05 / Send/read the 5 kHz tuning step'."
set-record-name-with-space-50,26,-,27,-,90 00,20 | 21,manual_derived,12,"Right column diagram '(20), (21) Programmable tuning step': the four nibbles whose leaders run, left to right, '1 kHz digit', '100 Hz digit', '100 kHz digit', '10 kHz digit'.",9 kHz written into the drawn nibble order; every digit within its printed 0-9 range.
set-record-name-with-space-50,28,-,28,-,00,22,manual_derived,12,"Right column diagram '(22) Attenuator setting': the single box, leader '00=OFF / 10=10dB / 20=20dB / 30=30dB'.",00=OFF chosen from the printed enumeration.
set-record-name-with-space-50,29,1,29,1,01,23,manual_documented,12,"Right column diagram '(23) Preamplifier setting': the left nibble, printed '0', leader '0 (Fixed)'.",
set-record-name-with-space-50,29,2,29,2,01,23,manual_derived,12,"Right column diagram '(23) Preamplifier setting': the right nibble, leader '0=OFF / 1=ON'.",1=ON chosen from the printed enumeration.
set-record-name-with-space-50,30,1,30,1,00,24,manual_documented,12,"Right column diagram '(24) Antenna setting': the left nibble, printed '0', leader '0 (Fixed)'.",
