Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment
1,CALLING,146.500000,,0.000000,,88.5,88.5,023,NN,FM,,,
2,NARROWFM,433.000000,+,1.600000,,88.5,88.5,023,NN,NFM,,S,
3,MINUSDUP,145.000000,-,0.000000,,88.5,88.5,023,NN,AM,,,
4,USBTEST,14.200000,,0.000000,,88.5,88.5,023,NN,USB,,,
5,LSBTEST,7.150000,,0.000000,,88.5,88.5,023,NN,LSB,,,
6,CWUPPER,14.050000,,0.000000,,88.5,88.5,023,NN,CW,,,
7,CWREV,14.055000,,0.000000,,88.5,88.5,023,NN,CWR,,,
8,RTTYTEST,14.080000,,0.000000,,88.5,88.5,023,NN,RTTY,,,
9,TONETEST,145.600000,,0.000000,Tone,88.5,88.5,023,NN,FM,,,
10,TSQLTEST,145.625000,,0.000000,TSQL,88.5,100.0,023,NN,FM,,,
11,BADTONE,145.650000,,0.000000,Tone,99.9,88.5,023,NN,FM,,,
12,DTCSTEST,145.675000,,0.000000,DTCS,88.5,88.5,023,NN,FM,,,
13,CROSSTEST,145.700000,,0.000000,Cross,88.5,88.5,023,NN,FM,,,
14,OFFDUPLEX,145.725000,off,0.000000,,88.5,88.5,023,NN,FM,,,
15,SPLITDUPLEX,145.750000,split,0.000000,,88.5,88.5,023,NN,FM,,,
16,BADMODE,145.775000,,0.000000,,88.5,88.5,023,NN,DIG,,,
0,ZEROLOC,145.800000,,0.000000,,88.5,88.5,023,NN,FM,,,
100,TOOBIGLOC,145.825000,,0.000000,,88.5,88.5,023,NN,FM,,,
17,LONGNAMEEXCEEDS12,145.850000,,0.000000,,88.5,88.5,023,NN,FM,,,
18,BAD;NAME,145.875000,,0.000000,,88.5,88.5,023,NN,FM,,,
19,FRACHZ,145.1234567,,0.000000,,88.5,88.5,023,NN,FM,,,
20,BADFREQ,notanumber,,0.000000,,88.5,88.5,023,NN,FM,,,
21,EXTRADATA,145.900000,,0.000000,,88.5,88.5,047,RN,FM,12.50,,synthetic test comment
22,SKIPOTHER,145.950000,,0.000000,,88.5,88.5,023,NN,FM,,P,
