P1,P2,P3,Function,P4,Digits
01 (RADIO SETTING),01 (MODE SSB),01,AF TREBLE GAIN,-10 ~ +00 ~ +10,3
01 (RADIO SETTING),01 (MODE SSB),02,AF MIDDLE TONE GAIN,-10 ~ +00 ~ +10,3
01 (RADIO SETTING),01 (MODE SSB),03,AF BASS GAIN,-10 ~ +00 ~ +10,3
01 (RADIO SETTING),01 (MODE SSB),04,AGC FAST DELAY,"20 ~ 4000 msec (P4= 0020 ~ 4000, 20 msec/step)",4
01 (RADIO SETTING),01 (MODE SSB),05,AGC MID DELAY,"20 ~ 4000 msec (P4= 0020 ~ 4000, 20 msec/step)",4
01 (RADIO SETTING),01 (MODE SSB),06,AGC SLOW DELAY,"20 ~ 4000 msec (P4= 0020 ~ 4000, 20 msec/step)",4
01 (RADIO SETTING),01 (MODE SSB),07,LCUT FREQ,00: OFF 01: 100 Hz ~ 19: 1000 Hz (50 Hz steps),2
01 (RADIO SETTING),01 (MODE SSB),08,LCUT SLOP,0: 6 dB/oct 1: 18 dB/oct,1
01 (RADIO SETTING),01 (MODE SSB),09,HCUT FREQ,00: OFF 01: 700 Hz ~ 67: 4000 Hz (50 Hz steps),2
01 (RADIO SETTING),01 (MODE SSB),10,HCUT SLOPE,0: 6 dB/oct 1: 18 dB/oct,1
01 (RADIO SETTING),01 (MODE SSB),11,SSB OUT LEVEL,0 ~ 100 (P4 = 000 ~ 100),3
01 (RADIO SETTING),01 (MODE SSB),12,TX BPF SEL,0: 50 ~ 3050 1: 100 ~ 2900 2: 200 ~ 2800 3: 300 ~ 2700 4: 400 ~ 2600,1
01 (RADIO SETTING),01 (MODE SSB),13,SSB MOD SOURCE,0: MIC 1: REAR,1
01 (RADIO SETTING),01 (MODE SSB),14,REAR SELECT,0: DATA 1: USB,1
01 (RADIO SETTING),01 (MODE SSB),15,RPORT GAIN,0 ~ 100 (P4 = 000 ~ 100),3
01 (RADIO SETTING),01 (MODE SSB),16,RPTT SELECT,0: DAKY 1: RTS 2: DTR,1
01 (RADIO SETTING),02 (MODE AM),01,AF TREBLE GAIN,-10 ~ +00 ~ +10,3
01 (RADIO SETTING),02 (MODE AM),02,AF MIDDLE TONE GAIN,-10 ~ +00 ~ +10,3
01 (RADIO SETTING),02 (MODE AM),03,AF BASS GAIN,-10 ~ +00 ~ +10,3
01 (RADIO SETTING),02 (MODE AM),04,AGC FAST DELAY,"20 ~ 4000 msec (P4= 0020 ~ 4000, 20 msec/step)",4
01 (RADIO SETTING),02 (MODE AM),05,AGC MID DELAY,"20 ~ 4000 msec (P4= 0020 ~ 4000, 20 msec/step)",4
01 (RADIO SETTING),02 (MODE AM),06,AGC SLOW DELAY,"20 ~ 4000 msec (P4= 0020 ~ 4000, 20 msec/step)",4
01 (RADIO SETTING),02 (MODE AM),07,LCUT FREQ,00: OFF 01: 100 Hz ~ 19: 1000 Hz (50 Hz steps),2
01 (RADIO SETTING),02 (MODE AM),08,LCUT SLOP,0: 6 dB/oct 1: 18 dB/oct,1
01 (RADIO SETTING),02 (MODE AM),09,HCUT FREQ,00: OFF 01: 700 Hz ~ 67: 4000 Hz (50 Hz steps),2
01 (RADIO SETTING),02 (MODE AM),10,HCUT SLOPE,0: 6 dB/oct 1: 18 dB/oct,1
01 (RADIO SETTING),02 (MODE AM),11,AM OUT LEVEL,0 ~ 100 (P4 = 000 ~ 100),3
01 (RADIO SETTING),02 (MODE AM),12,TX BPF SEL,0: 50 ~ 3050 1: 100 ~ 2900 2: 200 ~ 2800 3: 300 ~ 2700 4: 400 ~ 2600,1
01 (RADIO SETTING),02 (MODE AM),13,AM MOD SOURCE,0: MIC 1: REAR,1
01 (RADIO SETTING),02 (MODE AM),14,MIC GAIN,1000: MCVR 0000 ~ 0100: FIX,4
01 (RADIO SETTING),02 (MODE AM),15,REAR SELECT,0: DATA 1: USB,1
01 (RADIO SETTING),02 (MODE AM),16,RPORT GAIN,0 ~ 100 (P4 = 000 ~ 100),3
01 (RADIO SETTING),02 (MODE AM),17,RPTT SELECT,0: DAKY 1: RTS 2: DTR,1
01 (RADIO SETTING),03 (MODE FM),01,AF TREBLE GAIN,-10 ~ +00 ~ +10,3
01 (RADIO SETTING),03 (MODE FM),02,AF MIDDLE TONE GAIN,-10 ~ +00 ~ +10,3
01 (RADIO SETTING),03 (MODE FM),03,AF BASS GAIN,-10 ~ +00 ~ +10,3
01 (RADIO SETTING),03 (MODE FM),04,AGC FAST DELAY,"20 ~ 4000 msec (P4= 0020 ~ 4000, 20 msec/step)",4
01 (RADIO SETTING),03 (MODE FM),05,AGC MID DELAY,"20 ~ 4000 msec (P4= 0020 ~ 4000, 20 msec/step)",4
01 (RADIO SETTING),03 (MODE FM),06,AGC SLOW DELAY,"20 ~ 4000 msec (P4= 0020 ~ 4000, 20 msec/step)",4
01 (RADIO SETTING),03 (MODE FM),07,LCUT FREQ,00: OFF 01: 100 Hz ~ 19: 1000 Hz (50 Hz steps),2
01 (RADIO SETTING),03 (MODE FM),08,LCUT SLOP,0: 6 dB/oct 1: 18 dB/oct,1
01 (RADIO SETTING),03 (MODE FM),09,HCUT FREQ,00: OFF 01: 700 Hz ~ 67: 4000 Hz (50 Hz steps),2
01 (RADIO SETTING),03 (MODE FM),10,HCUT SLOPE,0: 6 dB/oct 1: 18 dB/oct,1
01 (RADIO SETTING),03 (MODE FM),11,FM OUT LEVEL,0 ~ 100 (P4 = 000 ~ 100),3
01 (RADIO SETTING),03 (MODE FM),12,FM MOD SOURCE,0: MIC 1: REAR,1
01 (RADIO SETTING),03 (MODE FM),13,MIC GAIN,1000: MCVR 0000 ~ 0100: FIX,4
01 (RADIO SETTING),03 (MODE FM),14,REAR SELECT,0: DATA 1: USB,1
01 (RADIO SETTING),03 (MODE FM),15,RPORT GAIN,0 ~ 100 (P4 = 000 ~ 100),3
01 (RADIO SETTING),03 (MODE FM),16,RPTT SELECT,0: DAKY 1: RTS 2: DTR,1
