# Source document: "FTDX101MP / FTDX101D CAT Operation Reference Manual"
#   (title printed on the cover, PDF page 1: "FTDX101MP" / "FTDX101D" stacked, with
#   "CAT Operation Reference Manual" beneath; publisher "YAESU MUSEN CO., LTD." at foot).
# Revision code as printed: 2308-L — printed at the lower right of the final page
#   (PDF page 26, printed back cover), beside the YAESU UK address block.
# Subject: "Table 2 (MENU Chart)", columns P1 | P2 | P3 | Function | P4 | Digits.
#   The chart occupies PDF pages 11, 12 and 13 (printed page numbers 10, 11 and 12).
# Transcription date: 05/08/2026
#
# Method:
#   - All pages rasterised with `pdftoppm -png`: a 100 dpi pass over all 26 pages to
#     locate the chart, then a 400 dpi pass (3308 x 4678 px per A4 page) over PDF
#     pages 11-13 for transcription, plus 300-400 dpi renders of pages 1 and 26 to
#     read the printed title and revision code.
#   - Pass 1 (structure): each 400 dpi chart page downsampled to 1400 px wide and read
#     whole, to establish the ruled group blocks and the column geometry.
#   - Pass 2 (codes, labels, names, digits): each chart page cut into six overlapping
#     690 px-tall horizontal bands; for each band the P1/P2/P3/Function block
#     (x 285-1575) and the Digits column (x 2850-3040) were cropped with ImageMagick
#     and appended side by side, so that every row's group membership and its Digits
#     value were read from the same printed ruled cells in one image.
#   - Pass 3 (P4 classification): the same bands re-cropped as P3 + P4 (x 1020-1320
#     appended to x 1540-2880) and read, to decide the `text` flag from the printed
#     P4 cell of each row.
#   - Pass 4 (re-verification): targeted 300 per cent enlargements of each group's
#     first and last rows, of every group label, and of readings where a typographic
#     detail was load-bearing — "LCUT SLOP" vs "HCUT SLOPE", "MY CALL." and its
#     Digits cell, "MAIN STEPS PER REV." / "MPVD STEPS PER REV." trailing full stops,
#     "3DSS DISP SENSITIVITY", and the "12" Digits value.
#   - Row membership and every value were read from the printed ruled cells in the
#     rendered rasters. No text extraction of any kind was used; `pdftotext` and every
#     other text-layer tool were not run.
#
# Verbatim policy: names and labels are recorded exactly as printed, including the
#   manual's own inconsistencies (e.g. "LCUT SLOP" without a final E throughout, while
#   "HCUT SLOPE" carries one; the trailing full stop in "MY CALL."). Names printed
#   across two ruled lines ("MOUSE POINTER SPEED") are joined with a single space.
#   Leading whitespace produced by centred cell text has not been preserved.
#
# Nothing beyond this one PDF's rendered pages was consulted: no other file in the
#   repository or elsewhere, no extracted-text or layout file, no source code, no other
#   manual, no web resource and no prior transcription.
p1,p2,p3,p1_label,p2_label,name,digits,text
01,01,01,RADIO SETTING,MODE SSB,AGC FAST DELAY,4,false
01,01,02,RADIO SETTING,MODE SSB,AGC MID DELAY,4,false
01,01,03,RADIO SETTING,MODE SSB,AGC SLOW DELAY,4,false
01,01,04,RADIO SETTING,MODE SSB,LCUT FREQ,2,false
01,01,05,RADIO SETTING,MODE SSB,LCUT SLOP,1,false
01,01,06,RADIO SETTING,MODE SSB,HCUT FREQ,2,false
01,01,07,RADIO SETTING,MODE SSB,HCUT SLOPE,1,false
01,01,08,RADIO SETTING,MODE SSB,SSB OUT SELECT,1,false
01,01,09,RADIO SETTING,MODE SSB,SSB OUT LEVEL,3,false
01,01,10,RADIO SETTING,MODE SSB,TX BPF SEL,1,false
01,01,11,RADIO SETTING,MODE SSB,SSB MOD SOURCE,1,false
01,01,12,RADIO SETTING,MODE SSB,REAR SELECT,1,false
01,01,13,RADIO SETTING,MODE SSB,RPORT GAIN,3,false
01,01,14,RADIO SETTING,MODE SSB,RPTT SELECT,1,false
01,02,01,RADIO SETTING,MODE AM,AGC FAST DELAY,4,false
01,02,02,RADIO SETTING,MODE AM,AGC MID DELAY,4,false
01,02,03,RADIO SETTING,MODE AM,AGC SLOW DELAY,4,false
01,02,04,RADIO SETTING,MODE AM,LCUT FREQ,2,false
01,02,05,RADIO SETTING,MODE AM,LCUT SLOP,1,false
01,02,06,RADIO SETTING,MODE AM,HCUT FREQ,2,false
01,02,07,RADIO SETTING,MODE AM,HCUT SLOPE,1,false
01,02,08,RADIO SETTING,MODE AM,AM OUT SELECT,1,false
01,02,09,RADIO SETTING,MODE AM,AM OUT LEVEL,3,false
01,02,10,RADIO SETTING,MODE AM,TX BPF SEL,1,false
01,02,11,RADIO SETTING,MODE AM,AM MOD SOURCE,1,false
01,02,12,RADIO SETTING,MODE AM,MIC GAIN,4,false
01,02,13,RADIO SETTING,MODE AM,REAR SELECT,1,false
01,02,14,RADIO SETTING,MODE AM,RPORT GAIN,3,false
01,02,15,RADIO SETTING,MODE AM,RPTT SELECT,1,false
01,03,01,RADIO SETTING,MODE FM,AGC FAST DELAY,4,false
01,03,02,RADIO SETTING,MODE FM,AGC MID DELAY,4,false
01,03,03,RADIO SETTING,MODE FM,AGC SLOW DELAY,4,false
01,03,04,RADIO SETTING,MODE FM,LCUT FREQ,2,false
01,03,05,RADIO SETTING,MODE FM,LCUT SLOP,1,false
01,03,06,RADIO SETTING,MODE FM,HCUT FREQ,2,false
01,03,07,RADIO SETTING,MODE FM,HCUT SLOPE,1,false
01,03,08,RADIO SETTING,MODE FM,FM OUT SELECT,1,false
01,03,09,RADIO SETTING,MODE FM,FM OUT LEVEL,3,false
01,03,10,RADIO SETTING,MODE FM,FM MOD SOURCE,1,false
01,03,11,RADIO SETTING,MODE FM,MIC GAIN,4,false
01,03,12,RADIO SETTING,MODE FM,REAR SELECT,1,false
01,03,13,RADIO SETTING,MODE FM,RPORT GAIN,3,false
01,03,14,RADIO SETTING,MODE FM,RPTT SELECT,1,false
01,03,15,RADIO SETTING,MODE FM,RPT SHIFT(28MHz),4,false
01,03,16,RADIO SETTING,MODE FM,RPT SHIFT(50MHz),4,false
01,04,01,RADIO SETTING,MODE PSK/DATA,AGC FAST DELAY,4,false
01,04,02,RADIO SETTING,MODE PSK/DATA,AGC MID DELAY,4,false
01,04,03,RADIO SETTING,MODE PSK/DATA,AGC SLOW DELAY,4,false
01,04,04,RADIO SETTING,MODE PSK/DATA,PSK TONE,1,false
01,04,05,RADIO SETTING,MODE PSK/DATA,DATA SHIFT (SSB),4,false
01,04,06,RADIO SETTING,MODE PSK/DATA,LCUT FREQ,2,false
01,04,07,RADIO SETTING,MODE PSK/DATA,LCUT SLOP,1,false
01,04,08,RADIO SETTING,MODE PSK/DATA,HCUT FREQ,2,false
01,04,09,RADIO SETTING,MODE PSK/DATA,HCUT SLOPE,1,false
01,04,10,RADIO SETTING,MODE PSK/DATA,DATA OUT SELECT,1,false
01,04,11,RADIO SETTING,MODE PSK/DATA,DATA OUT LEVEL,3,false
01,04,12,RADIO SETTING,MODE PSK/DATA,TX BPF SEL,1,false
01,04,13,RADIO SETTING,MODE PSK/DATA,DATA MOD SOURCE,1,false
01,04,14,RADIO SETTING,MODE PSK/DATA,REAR SELECT,1,false
01,04,15,RADIO SETTING,MODE PSK/DATA,RPORT GAIN,3,false
01,04,16,RADIO SETTING,MODE PSK/DATA,RPTT SELECT,1,false
01,05,01,RADIO SETTING,MODE RTTY,AGC FAST DELAY,4,false
01,05,02,RADIO SETTING,MODE RTTY,AGC MID DELAY,4,false
01,05,03,RADIO SETTING,MODE RTTY,AGC SLOW DELAY,4,false
01,05,04,RADIO SETTING,MODE RTTY,POLARITY-RX,1,false
01,05,05,RADIO SETTING,MODE RTTY,POLARITY-TX,1,false
01,05,06,RADIO SETTING,MODE RTTY,LCUT FREQ,2,false
01,05,07,RADIO SETTING,MODE RTTY,LCUT SLOP,1,false
01,05,08,RADIO SETTING,MODE RTTY,HCUT FREQ,2,false
01,05,09,RADIO SETTING,MODE RTTY,HCUT SLOPE,1,false
01,05,10,RADIO SETTING,MODE RTTY,DATA OUT SELECT,1,false
01,05,11,RADIO SETTING,MODE RTTY,RTTY OUT LEVEL,3,false
01,05,12,RADIO SETTING,MODE RTTY,SHIFT PORT,1,false
01,05,13,RADIO SETTING,MODE RTTY,MARK FREQUENCY,1,false
01,05,14,RADIO SETTING,MODE RTTY,SHIFT FREQUENCY,1,false
01,06,01,RADIO SETTING,ENC/DEC PSK,PSK MODE,1,false
01,06,02,RADIO SETTING,ENC/DEC PSK,DECODE AFC RANGE,1,false
01,06,03,RADIO SETTING,ENC/DEC PSK,QPSK POLARITY RX,1,false
01,06,04,RADIO SETTING,ENC/DEC PSK,QPSK POLARITY TX,1,false
01,06,05,RADIO SETTING,ENC/DEC PSK,PSK TX LEVEL,3,false
01,07,01,RADIO SETTING,ENC/DEC RTTY,RX USOS,1,false
01,07,02,RADIO SETTING,ENC/DEC RTTY,TX USOS,1,false
01,07,03,RADIO SETTING,ENC/DEC RTTY,RX NEW LINE CODE,1,false
01,07,04,RADIO SETTING,ENC/DEC RTTY,TX AUTO CR+LF,1,false
01,07,05,RADIO SETTING,ENC/DEC RTTY,TX DIDDLE,1,false
01,07,06,RADIO SETTING,ENC/DEC RTTY,BAUDOT CODE,1,false
02,01,01,CW SETTING,MODE CW,AGC FAST DELAY,4,false
02,01,02,CW SETTING,MODE CW,AGC MID DELAY,4,false
02,01,03,CW SETTING,MODE CW,AGC SLOW DELAY,4,false
02,01,04,CW SETTING,MODE CW,LCUT FREQ,2,false
02,01,05,CW SETTING,MODE CW,LCUT SLOP,1,false
02,01,06,CW SETTING,MODE CW,HCUT FREQ,2,false
02,01,07,CW SETTING,MODE CW,HCUT SLOPE,1,false
02,01,08,CW SETTING,MODE CW,CW OUT SELECT,1,false
02,01,09,CW SETTING,MODE CW,CW OUT LEVEL,3,false
02,01,10,CW SETTING,MODE CW,CW AUTO MODE,1,false
02,01,11,CW SETTING,MODE CW,CW BK-IN TYPE,1,false
02,01,12,CW SETTING,MODE CW,CW BK-IN DELAY,2,false
02,01,13,CW SETTING,MODE CW,CW WAVE SHAPE,1,false
02,01,14,CW SETTING,MODE CW,CW FREQ DISPLAY,1,false
02,01,15,CW SETTING,MODE CW,PC KEYING,1,false
02,01,16,CW SETTING,MODE CW,QSK DELAY TIME,1,false
02,01,17,CW SETTING,MODE CW,CW INDICATOR,1,false
02,02,01,CW SETTING,KEYER,F KEYER TYPE,1,false
02,02,02,CW SETTING,KEYER,F KEYER DOT/DASH,1,false
02,02,03,CW SETTING,KEYER,R KEYER TYPE,1,false
02,02,04,CW SETTING,KEYER,R KEYER DOT/DASH,1,false
02,02,05,CW SETTING,KEYER,CW WEIGHT,2,false
02,02,06,CW SETTING,KEYER,NUMBER STYLE,1,false
02,02,07,CW SETTING,KEYER,CONTEST NUMBER,4,false
02,02,08,CW SETTING,KEYER,CW MEMORY 1,1,false
02,02,09,CW SETTING,KEYER,CW MEMORY 2,1,false
02,02,10,CW SETTING,KEYER,CW MEMORY 3,1,false
02,02,11,CW SETTING,KEYER,CW MEMORY 4,1,false
02,02,12,CW SETTING,KEYER,CW MEMORY 5,1,false
02,02,13,CW SETTING,KEYER,REPEAT INTERVAL,2,false
02,03,01,CW SETTING,DECODE CW,CW DECODE BW,1,false
