menu_number,name,digits
0101,AGC FAST DELAY,4
0102,AGC MID DELAY,4
0103,AGC SLOW DELAY,4
0201,LCD CONTRAST,2
0202,DIMMER BACKLIT,2
0203,DIMMER LCD,2
0204,DIMMER TX/BUSY,2
0205,PEAK HOLD,1
0206,ZIN LED,1
0207,POP-UP MENU,1
0301,DVS RX OUT LVL,3
0302,DVS TX OUT LVL,3
0401,KEYER TYPE,1
0402,KEYER DOT/DASH,1
0403,CW WEIGHT,2
0404,BEACON INTERVAL,3
0405,NUMBER STYLE,1
0406,CONTEST NUMBER,4
0407,CW MEMORY 1,1
0408,CW MEMORY 2,1
0409,CW MEMORY 3,1
0410,CW MEMORY 4,1
0411,CW MEMORY 5,1
0501,NB WIDTH,1
0502,NB REJECTION,1
0503,NB LEVEL,2
0504,BEEP LEVEL,3
0505,RF/SQL VR,1
0506,CAT RATE,1
0507,CAT TOT,1
0508,CAT RTS,1
0509,MEM GROUP,1
0510,FM SETTING,1
0511,REC SETTING,1
0512,ATAS SETTING,1
0513,QUICK SPL FREQ,3
0514,TX TOT,2
0515,MIC SCAN,1
0516,MIC SCAN RESUME,1
0517,REF FREQ ADJ,3
0518,CLAR SELECT,1
0519,APO,1
0520,FAN CONTROL,1
0601,AM LCUT FREQ,2
0602,AM LCUT SLOPE,1
0603,AM HCUT FREQ,2
0604,AM HCUT SLOPE,1
0605,AM MIC SELECT,1
0606,AM OUT LEVEL,3
0607,AM PTT SELECT,1
0701,CW LCUT FREQ,2
0702,CW LCUT SLOPE,1
0703,CW HCUT FREQ,2
0704,CW HCUT SLOPE,1
0705,CW OUT LEVEL,3
0706,CW AUTO MODE,1
0707,CW BFO,1
0708,CW BK-IN TYPE,1
0709,CW BK-IN DELAY,4
0710,CW WAVE SHAPE,1
0711,CW FREQ DISPLAY,1
0712,PC KEYING,1
0713,QSK DELAY TIME,1
0801,DATA MODE,1
0802,PSK TONE,1
0803,OTHER DISP,5
0804,OTHER SHIFT,5
0805,DATA LCUT FREQ,2
0806,DATA LCUT SLOPE,1
0807,DATA HCUT FREQ,2
0808,DATA HCUT SLOPE,1
0809,DATA IN SELECT,1
0810,DATA PTT SELECT,1
0811,DATA OUT LEVEL,3
0812,DATA BFO,1
0901,FM MIC SELECT,1
0902,FM OUT LEVEL,3
0903,PKT PTT SELECT,1
0904,RPT SHIFT 28MHz,4
0905,RPT SHIFT 50MHz,1
0906,DCS POLARITY,1
1001,RTTY LCUT FREQ,2
1002,RTTY LCUT SLOPE,1
1003,RTTY HCUT FREQ,2
1004,RTTY HCUT SLOPE,1
1005,RTTY SHIFT PORT,1
1006,RTTY POLARITY-R,1
1007,RTTY POLARITY-T,1
1008,RTTY OUT LEVEL,3
1009,RTTY SHIFT FREQ,1
1010,RTTY MARK FREQ,1
1011,RTTY BFO,1
1101,SSB LCUT FREQ,2
1102,SSB LCUT SLOPE,1
1103,SSB HCUT FREQ,2
1104,SSB HCUT SLOPE,1
1105,SSB MIC SELECT,1
1106,SSB OUT LEVEL,3
1107,SSB BFO,1
1108,SSB PTT SELECT,1
1109,SSB TX BPF,1
1201,APF WIDTH,1
1202,CONTOUR LEVEL,3
1203,CONTOUR WIDTH,2
1204,IF NOTCH WIDTH,1
1301,SCP START CYCLE,1
1302,SCP SPAN FREQ,1
1401,QUICK DIAL,1
1402,SSB DIAL STEP,1
1403,AM DIAL STEP,1
1404,FM DIAL STEP,1
1405,DIAL STEP,1
1406,AM CH STEP,1
1407,FM CH STEP,1
1501,EQ1 FREQ,2
1502,EQ1 LEVEL,3
1503,EQ1 BWTH,2
1504,EQ2 FREQ,2
1505,EQ2 LEVEL,3
1506,EQ2 BWTH,2
1507,EQ3 FREQ,2
1508,EQ3 LEVEL,3
1509,EQ3 BWTH,2
1510,P-EQ1 FREQ,2
1511,P-EQ1 LEVEL,3
1512,P-EQ1 BWTH,2
1513,P-EQ2 FREQ,2
1514,P-EQ2 LEVEL,3
1515,P-EQ2 BWTH,2
1516,P-EQ3 FREQ,2
1517,P-EQ3 LEVEL,3
1518,P-EQ3 BWTH,2
1601,HF SSB PWR,3
1602,HF AM PWR,3
1603,HF PWR,3
1604,50M SSB PWR,3
1605,50M AM PWR,3
1606,50M PWR,3
1607,SSB MIC GAIN,3
1608,AM MIC GAIN,3
1609,FM MIC GAIN,3
1610,DATA MIC GAIN,3
1611,SSB DATA GAIN,3
1612,AM DATA GAIN,3
1613,FM DATA GAIN,3
1614,DATA DATA GAIN,3
1615,TUNER SELECT,1
1616,VOX SELECT,1
1617,VOX GAIN,3
1618,VOX DELAY,4
1619,ANTI VOX GAIN,3
1620,DATA VOX GAIN,3
1621,DATA VOX DELAY,4
1622,ANTI DVOX GAIN,3
1623,EMERGENCY FREQ,1
1701,RESET,1
1801,MAIN VERSION,4
1802,DSP VERSION,4
1803,LCD VERSION,4
