menu_number,name,digits
001,AGC FAST DELAY,4
002,AGC MID DELAY,4
003,AGC SLOW DELAY,4
004,HOME FUNCTION,1
005,MY CALL INDICATION,1
006,DISPLAY COLOR,1
007,DIMMER LED,1
008,DIMMER TFT,2
009,BAR MTR PEAK HOLD,1
010,DVS RX OUT LEVEL,3
011,DVS TX OUT LEVEL,3
012,KEYER TYPE,1
013,KEYER DOT/DASH,1
014,CW WEIGHT,2
015,BEACON INTERVAL,3
016,NUMBER STYLE,1
017,CONTEST NUMBER,4
018,CW MEMORY 1,1
019,CW MEMORY 2,1
020,CW MEMORY 3,1
021,CW MEMORY 4,1
022,CW MEMORY 5,1
023,NB WIDTH,1
024,NB REJECTION,1
025,NB LEVEL,2
026,BEEP LEVEL,3
027,TIME ZONE,5
028,GPS/232C SELECT,1
029,232C RATE,1
030,232C TOT,1
031,CAT RATE,1
032,CAT TOT,1
033,CAT RTS,1
034,MEM GROUP,1
035,QUICK SPLIT FREQ,3
036,TX TOT,2
037,MIC SCAN,1
038,MIC SCAN RESUME,1
039,REF FREQ ADJ,3
040,CLAR MODE SELECT,1
041,AM LCUT FREQ,2
042,AM LCUT SLOPE,1
043,AM HCUT FREQ,2
044,AM HCUT SLOPE,1
045,AM MIC SELECT,1
046,AM OUT LEVEL,3
047,AM PTT SELECT,1
048,AM PORT SELECT,1
049,AM DATA GAIN,3
050,CW LCUT FREQ,2
051,CW LCUT SLOPE,1
052,CW HCUT FREQ,2
053,CW HCUT SLOPE,1
054,CW OUT LEVEL,3
055,CW AUTO MODE,1
056,CW BK-IN TYPE,1
057,CW BK-IN DELAY,4
058,CW WAVE SHAPE,1
059,CW FREQ DISPLAY,1
060,PC KEYING,1
061,QSK DELAY TIME,1
062,DATA MODE,1
063,PSK TONE,1
064,OTHER DISP (SSB),5
065,OTHER SHIFT (SSB),5
066,DATA LCUT FREQ,2
067,DATA LCUT SLOPE,1
068,DATA HCUT FREQ,1
069,DATA HCUT SLOPE,2
070,DATA IN SELECT,1
071,DATA PTT SELECT,1
072,DATA PORT SELECT,1
073,DATA OUT LEVEL,3
074,FM MIC SELECT,1
075,FM OUT LEVEL,3
076,FM PKT PTT SELECT,1
077,FM PKT PORT SELECT,1
078,FM PKT TX GAIN,3
079,FM PKT MODE,1
080,RPT SHIFT 28MHz,4
081,RPT SHIFT 50MHz,4
082,RPT SHIFT 144MHz,4
083,RPT SHIFT 430MHz,5
084,ARS 144MHz,1
085,ARS 430MHz,1
086,DCS POLARITY,1
087,RADIO ID,?
088,GM DISPLY,1
089,DISTANCE,1
090,AMS TX MODE,1
091,STANDBY BEEP,1
092,RTTY LCUT FREQ,2
093,RTTY LCUT SLOPE,1
094,RTTY HCUT FREQ,2
095,RTTY HCUT SLOPE,1
096,RTTY SHIFT PORT,1
097,RTTY POLARITY-RX,1
098,RTTY POLARITY-TX,1
099,RTTY OUT LEVEL,3
100,RTTY SHIFT FREQ,1
101,RTTY MARK FREQ,1
102,SSB LCUT FREQ,2
103,SSB LCUT SLOPE,1
104,SSB HCUT FREQ,2
105,SSB HCUT SLOPE,1
106,SSB MIC SELECT,1
107,SSB OUT LEVEL,3
108,SSB PTT SELECT,1
109,SSB PORT SELECT,1
110,SSB TX BPF,1
111,APF WIDTH,1
112,CONTOUR LEVEL,3
113,CONTOUR WIDTH,2
114,IF NOTCH WIDTH,1
115,SCP DISPLAY MODE,1
116,SCP SPAN FREQ,2
117,SPECTRUM COLOR,1
118,WATER FALL COLOR,1
119,PRMTRC EQ1 FREQ,2
120,PRMTRC EQ1 LEVEL,3
121,PRMTRC EQ1 BWTH,2
122,PRMTRC EQ2 FREQ,2
123,PRMTRC EQ2 LEVEL,3
124,PRMTRC EQ2 BWTH,2
125,PRMTRC EQ3 FREQ,2
126,PRMTRC EQ3 LEVEL,3
127,PRMTRC EQ3 BWTH,2
128,P-PRMTRC EQ1 FREQ,2
129,P-PRMTRC EQ1 LEVEL,3
130,P-PRMTRC EQ1 BWTH,2
131,P-PRMTRC EQ2 FREQ,2
132,P-PRMTRC EQ2 LEVEL,3
133,P-PRMTRC EQ2 BWTH,2
134,P-PRMTRC EQ3 FREQ,2
135,P-PRMTRC EQ3 LEVEL,3
136,P-PRMTRC EQ3 BWTH,2
137,HF TX MAX POWER,3
138,50M TX MAX POWER,3
139,144M TX MAX POWER,3
140,430M TX MAX POWER,3
141,TUNER SELECT,1
142,VOX SELECT,1
143,VOX GAIN,3
144,VOX DELAY,4
145,ANTI VOX GAIN,3
146,DATA VOX GAIN,3
147,DATA VOX DELAY,4
148,ANTI DVOX GAIN,3
149,EMERGENCY FREQ TX,1
150,PRT/WIRES FREQ,1
151,PRESET FREQUENCY,8
152,SEARCH SETUP,1
153,WIRES DG-ID,2
